model_key,model_label,split,granularity,mae,rmse,mape,smape,bias,r2,configuration,mae_rank
univariate_mlp_target_lags,Univariate MLP Target Lags,test,1min,1.5080564484877794,1.8912860530246238,0.19382024946393214,0.19381208652934087,0.00802272473300178,0.9601208778962598,first_difference | smooth=none | lr=0.0001,1.0
univariate_mlp_target_lags,Univariate MLP Target Lags,test,1min,1.5120538645924364,1.9034672224648324,0.1942562889426571,0.1942799138108552,-0.11659900613709179,0.9595824829189445,level | smooth=none | lr=0.01,2.0
univariate_mlp_target_lags,Univariate MLP Target Lags,test,1min,1.5132027441622466,1.8990683132555992,0.1944670575503694,0.19445113103758468,0.04672127392850671,0.9597920136097762,first_difference | smooth=none | lr=0.005,3.0
univariate_mlp_target_lags,Univariate MLP Target Lags,test,1min,1.5153679991925146,1.9009329680920328,0.194745593593977,0.1947563317936646,-0.058108547775922385,0.9597130161103611,first_difference | smooth=none | lr=0.01,4.0
univariate_mlp_target_lags,Univariate MLP Target Lags,test,1min,1.5184420792214024,1.90150401502048,0.19516085461764512,0.1951468435196964,0.03157595388001966,0.9596888077723523,first_difference | smooth=none | lr=0.001,5.0
univariate_mlp_target_lags,Univariate MLP Target Lags,test,1min,1.5190048287487223,1.9093360303096312,0.19513947854077404,0.19516688961075623,-0.13091072591145805,0.9593328665216145,level | smooth=none | lr=0.001,6.0
univariate_mlp_target_lags,Univariate MLP Target Lags,test,1min,1.5269648363517976,1.9185177416684707,0.19611692889501647,0.1961755771141391,-0.24619512413042657,0.9589408017691469,level | smooth=none | lr=0.005,7.0
univariate_mlp_target_lags,Univariate MLP Target Lags,test,1min,1.5883326367642752,2.0008755195208523,0.20404356065268206,0.20406021031844848,-0.06080425157524738,0.95533997451684,level | smooth=2min | lr=0.0001,8.0
univariate_mlp_target_lags,Univariate MLP Target Lags,test,1min,1.606163737548256,2.012313554386182,0.20632105940360865,0.2063312223951901,-0.05655138164244581,0.9548279156835696,level | smooth=none | lr=0.0001,9.0
univariate_mlp_target_lags,Univariate MLP Target Lags,test,1min,1.607630253636801,2.025999843496027,0.2066117594733101,0.20660628208929893,0.0013357131587046957,0.9542645989232799,second_difference | smooth=none | lr=0.0001,10.0
univariate_mlp_target_lags,Univariate MLP Target Lags,test,1min,1.6170251179537996,2.039640089484661,0.20780908477027374,0.20778817975915043,0.06393912614574539,0.9536466895362371,second_difference | smooth=none | lr=0.005,11.0
univariate_mlp_target_lags,Univariate MLP Target Lags,test,1min,1.6196106806984083,2.0395280653632306,0.20814255164811607,0.20814109250614646,-0.008708555113477708,0.9536517811661837,second_difference | smooth=none | lr=0.001,12.0
univariate_mlp_target_lags,Univariate MLP Target Lags,test,1min,1.6291901566589162,2.053491524549977,0.20936835255969066,0.20931826832764291,0.16385392387220196,0.9530149702194687,second_difference | smooth=none | lr=0.01,13.0
univariate_mlp_target_lags,Univariate MLP Target Lags,test,1min,1.9805309250482583,2.522124130266309,0.2546367986029547,0.2546684074627733,-0.09229817879061014,0.9290403050866707,level | smooth=2min | lr=0.001,14.0
univariate_mlp_target_lags,Univariate MLP Target Lags,test,1min,2.208575687392924,2.7768019203709287,0.28405673840632695,0.28415980767997034,-0.17501810150601393,0.914035141755613,first_difference | smooth=2min | lr=0.0001,15.0
univariate_mlp_target_lags,Univariate MLP Target Lags,test,1min,2.359091634114584,2.9990594937370423,0.30330671188275826,0.3033907423326568,-0.17311884128241523,0.899665801114505,level | smooth=2min | lr=0.005,16.0
univariate_mlp_target_lags,Univariate MLP Target Lags,test,1min,2.4127381127986594,3.040630228937414,0.3103118696776148,0.31034978819253084,-0.05382029315085927,0.8968650071713143,level | smooth=2min | lr=0.01,17.0
univariate_mlp_target_lags,Univariate MLP Target Lags,test,1min,2.649899742861122,3.2855973425949645,0.340868333700123,0.34099806891094575,-0.17686637940265987,0.8796461946079367,first_difference | smooth=2min | lr=0.01,18.0
univariate_mlp_target_lags,Univariate MLP Target Lags,test,1min,2.6933266348824283,3.3499567045127012,0.3464446844935617,0.3466435427114779,-0.298734268703593,0.8748849546474253,first_difference | smooth=2min | lr=0.005,19.0
univariate_mlp_target_lags,Univariate MLP Target Lags,test,1min,2.7306323978270424,3.39365369928322,0.3512589496624472,0.35143870482452305,-0.24438922478355446,0.8715996534569909,first_difference | smooth=2min | lr=0.001,20.0
univariate_mlp_target_lags,Univariate MLP Target Lags,test,1min,2.73825604543239,3.4017473949624537,0.35216287925688394,0.3520778974507719,0.18982082493335836,0.8710629294577519,second_difference | smooth=2min | lr=0.01,21.0
univariate_mlp_target_lags,Univariate MLP Target Lags,test,1min,2.761155557484818,3.4627953426661313,0.3551050139796519,0.3553021723373112,-0.2533326239597358,0.8663935802077277,second_difference | smooth=2min | lr=0.0001,22.0
univariate_mlp_target_lags,Univariate MLP Target Lags,test,1min,3.1711169702085664,4.065456703337304,0.4078772475082915,0.4081743946668483,-0.21887092062067343,0.8158412504080321,second_difference | smooth=2min | lr=0.005,23.0
univariate_mlp_target_lags,Univariate MLP Target Lags,test,1min,3.2195622811492726,4.117474588801371,0.41408716720242944,0.4144283533386095,-0.2767947765782016,0.811098445334755,second_difference | smooth=2min | lr=0.001,24.0
univariate_mlp_target_lags,Univariate MLP Target Lags,test,30s,0.8761316757409338,1.1068268756321629,0.11257501015129144,0.11257621669736122,-0.014481413044156026,0.9864005517269275,first_difference | smooth=none | lr=0.0001,1.0
univariate_mlp_target_lags,Univariate MLP Target Lags,test,30s,0.878074005909455,1.1094990208857307,0.11281833282126656,0.11281678724417475,0.004038474058494195,0.9863313014026164,level | smooth=none | lr=0.001,2.0
univariate_mlp_target_lags,Univariate MLP Target Lags,test,30s,0.8861278229826804,1.117841429585252,0.11384137826037583,0.11383076747800432,0.06852388793660827,0.9861249766242637,level | smooth=none | lr=0.01,3.0
univariate_mlp_target_lags,Univariate MLP Target Lags,test,30s,0.8903752408652219,1.1221352402322464,0.11440665782295736,0.11440738229250016,-0.01083882977436676,0.9860217661953931,first_difference | smooth=none | lr=0.001,4.0
univariate_mlp_target_lags,Univariate MLP Target Lags,test,30s,0.8984668864393169,1.1310282563074177,0.11545011517416064,0.11543173853341343,0.11874775710752887,0.9857993309099972,first_difference | smooth=none | lr=0.01,5.0
univariate_mlp_target_lags,Univariate MLP Target Lags,test,30s,0.9061553099729507,1.143138877802114,0.11643514111950203,0.1164192593215753,0.09685725891664632,0.985493592003976,first_difference | smooth=none | lr=0.005,6.0
