model,model_variant,split,candidate_label,granularity,difference_order,transform_name,training_smoothing_window,lookback_steps,horizon_steps,lookback_duration,horizon_duration,hidden_units,second_hidden_units,hidden_layer_sizes,forecast_output_scale,learning_rate_init,selected_role,engine,optimizer,num_layers,min_steps,max_steps,accelerator,windows_batch_size,dataloader_num_workers,training_seconds,warning_count,warnings,mae,rmse,mape,smape,bias,r2,selection_mode,stage
NeuralForecast_MLP_neuralforecast_single_hidden_match_lookback,neuralforecast_single_hidden_match_lookback,test,1min_d1_smooth_none,1min,1,first_difference,none,3,1,3min,1step,3,,"(3,)",scaled,0.0001,best_project_horizon_1min_candidate,neuralforecast,adam,1,5000,7500,gpu,4096,0,62.089599500002805,4,"The 'predict_dataloader' does not have many workers which may be a bottleneck. Consider increasing the value of the `num_workers` argument` to `num_workers=7` in the `DataLoader` to improve performance.; The 'train_dataloader' does not have many workers which may be a bottleneck. Consider increasing the value of the `num_workers` argument` to `num_workers=7` in the `DataLoader` to improve performance.; The 'val_dataloader' does not have many workers which may be a bottleneck. Consider increasing the value of the `num_workers` argument` to `num_workers=7` in the `DataLoader` to improve performance.; `isinstance(treespec, LeafSpec)` is deprecated, use `isinstance(treespec, TreeSpec) and treespec.is_leaf()` instead.",0.1409301560784973,0.1771015378664312,194.2699421118383,38.35316071390245,0.0004628131022112,0.9595621361173672,stage_2_baseline_1step_top3,Stage 2 - 1step baseline MLP
NeuralForecast_MLP_neuralforecast_single_hidden_match_lookback,neuralforecast_single_hidden_match_lookback,test,30s_d0_smooth_none,30s,0,level,none,6,1,3min,1step,6,,"(6,)",scaled,0.0001,best_project_horizon_30s_candidate,neuralforecast,adam,1,5000,7500,gpu,4096,0,61.75778610003181,4,"The 'predict_dataloader' does not have many workers which may be a bottleneck. Consider increasing the value of the `num_workers` argument` to `num_workers=7` in the `DataLoader` to improve performance.; The 'train_dataloader' does not have many workers which may be a bottleneck. Consider increasing the value of the `num_workers` argument` to `num_workers=7` in the `DataLoader` to improve performance.; The 'val_dataloader' does not have many workers which may be a bottleneck. Consider increasing the value of the `num_workers` argument` to `num_workers=7` in the `DataLoader` to improve performance.; `isinstance(treespec, LeafSpec)` is deprecated, use `isinstance(treespec, TreeSpec) and treespec.is_leaf()` instead.",0.0997583513793331,0.1261754697534369,74.35736380402402,31.04826720290596,-0.0006596129473439,0.9795626577505732,stage_2_baseline_1step_top3,Stage 2 - 1step baseline MLP
NeuralForecast_MLP_neuralforecast_single_hidden_match_lookback,neuralforecast_single_hidden_match_lookback,test,raw_d1_smooth_none,raw,1,first_difference,none,36,1,3min,1step,36,,"(36,)",scaled,0.0001,best_project_horizon_raw_candidate,neuralforecast,adam,1,5000,7500,gpu,4096,0,80.90918019996025,4,"The 'predict_dataloader' does not have many workers which may be a bottleneck. Consider increasing the value of the `num_workers` argument` to `num_workers=7` in the `DataLoader` to improve performance.; The 'train_dataloader' does not have many workers which may be a bottleneck. Consider increasing the value of the `num_workers` argument` to `num_workers=7` in the `DataLoader` to improve performance.; The 'val_dataloader' does not have many workers which may be a bottleneck. Consider increasing the value of the `num_workers` argument` to `num_workers=7` in the `DataLoader` to improve performance.; `isinstance(treespec, LeafSpec)` is deprecated, use `isinstance(treespec, TreeSpec) and treespec.is_leaf()` instead.",0.0095911176490893,0.012083259612504,7.6376723364548145,4.856882228210967,-0.0001105892611925,0.9998129551128938,stage_2_baseline_1step_top3,Stage 2 - 1step baseline MLP
NeuralForecast_MLP_neuralforecast_single_hidden_match_lookback,neuralforecast_single_hidden_match_lookback,test,1min_d1_smooth_none,1min,1,first_difference,none,3,3,3min,3min,3,,"(3,)",scaled,0.0001,best_project_horizon_1min_candidate,neuralforecast,adam,1,5000,7500,gpu,4096,0,92.59434009995311,4,"The 'predict_dataloader' does not have many workers which may be a bottleneck. Consider increasing the value of the `num_workers` argument` to `num_workers=7` in the `DataLoader` to improve performance.; The 'train_dataloader' does not have many workers which may be a bottleneck. Consider increasing the value of the `num_workers` argument` to `num_workers=7` in the `DataLoader` to improve performance.; The 'val_dataloader' does not have many workers which may be a bottleneck. Consider increasing the value of the `num_workers` argument` to `num_workers=7` in the `DataLoader` to improve performance.; `isinstance(treespec, LeafSpec)` is deprecated, use `isinstance(treespec, TreeSpec) and treespec.is_leaf()` instead.",0.3028002240342234,0.3839772486009745,287.65656234198565,62.90819413619363,0.0026932330428417,0.8099403449860647,stage_2_baseline_3min_top3,Stage 2 - 3min baseline MLP
NeuralForecast_MLP_neuralforecast_single_hidden_match_lookback,neuralforecast_single_hidden_match_lookback,test,30s_d0_smooth_none,30s,0,level,none,6,6,3min,3min,6,,"(6,)",scaled,0.0001,best_project_horizon_30s_candidate,neuralforecast,adam,1,5000,7500,gpu,4096,0,168.67745970003307,4,"The 'predict_dataloader' does not have many workers which may be a bottleneck. Consider increasing the value of the `num_workers` argument` to `num_workers=7` in the `DataLoader` to improve performance.; The 'train_dataloader' does not have many workers which may be a bottleneck. Consider increasing the value of the `num_workers` argument` to `num_workers=7` in the `DataLoader` to improve performance.; The 'val_dataloader' does not have many workers which may be a bottleneck. Consider increasing the value of the `num_workers` argument` to `num_workers=7` in the `DataLoader` to improve performance.; `isinstance(treespec, LeafSpec)` is deprecated, use `isinstance(treespec, TreeSpec) and treespec.is_leaf()` instead.",0.3109733612263334,0.3932632325527836,146.65875719051746,66.94505193495424,-0.0395225714276394,0.8015587360937008,stage_2_baseline_3min_top3,Stage 2 - 3min baseline MLP
NeuralForecast_MLP_neuralforecast_single_hidden_match_lookback,neuralforecast_single_hidden_match_lookback,test,raw_d1_smooth_none,raw,1,first_difference,none,36,36,3min,3min,36,,"(36,)",scaled,0.0001,best_project_horizon_raw_candidate,neuralforecast,adam,1,5000,7500,gpu,4096,0,32022.668455899984,4,"The 'predict_dataloader' does not have many workers which may be a bottleneck. Consider increasing the value of the `num_workers` argument` to `num_workers=7` in the `DataLoader` to improve performance.; The 'train_dataloader' does not have many workers which may be a bottleneck. Consider increasing the value of the `num_workers` argument` to `num_workers=7` in the `DataLoader` to improve performance.; The 'val_dataloader' does not have many workers which may be a bottleneck. Consider increasing the value of the `num_workers` argument` to `num_workers=7` in the `DataLoader` to improve performance.; `isinstance(treespec, LeafSpec)` is deprecated, use `isinstance(treespec, TreeSpec) and treespec.is_leaf()` instead.",0.3095393905945249,0.3922298963891433,214.26213146640643,64.62878665025374,-0.004708779942493,0.8030020580990005,stage_2_baseline_3min_top3,Stage 2 - 3min baseline MLP
