granularity,candidate_label,mae_Stage 2 - 1step baseline MLP,mae_Stage 2 - 3min baseline MLP,r2_Stage 2 - 1step baseline MLP,r2_Stage 2 - 3min baseline MLP,rmse_Stage 2 - 1step baseline MLP,rmse_Stage 2 - 3min baseline MLP,stage_a,stage_b,r2_drop,mae_increase_factor,rmse_increase_factor
1min,1min_d1_smooth_none,0.1409301560784973,0.3028002240342234,0.9595621361173672,0.8099403449860647,0.1771015378664312,0.3839772486009745,Stage 2 - 1step baseline MLP,Stage 2 - 3min baseline MLP,0.14962179113130247,2.1485836137552092,2.1681192226041963
30s,30s_d0_smooth_none,0.0997583513793331,0.3109733612263334,0.9795626577505732,0.8015587360937008,0.1261754697534369,0.3932632325527836,Stage 2 - 1step baseline MLP,Stage 2 - 3min baseline MLP,0.1780039216568724,3.11726644362687,3.1167962625482635
raw,raw_d1_smooth_none,0.0095911176490893,0.3095393905945249,0.9998129551128938,0.8030020580990005,0.012083259612504,0.3922298963891433,Stage 2 - 1step baseline MLP,Stage 2 - 3min baseline MLP,0.19681089701389332,32.273547455015986,32.46060326166094
