granularity,candidate_label,model_variant,learning_rate_init,training_steps,final_train_loss,best_train_loss,mae,rmse,mape,smape,bias,r2,training_seconds
1min,1min_d1_smooth_none,neuralforecast_single_hidden_match_lookback,0.0001,7499,0.1384003609418869,0.13491646945476532,0.14093015607849738,0.17710153786643124,194.2699421118383,38.353160713902454,0.00046281310221127597,0.9595621361173672,62.089599500002805
30s,30s_d0_smooth_none,neuralforecast_single_hidden_match_lookback,0.0001,7499,0.09938227385282516,0.09742093086242676,0.09975835137933316,0.1261754697534369,74.35736380402402,31.04826720290596,-0.0006596129473439128,0.9795626577505733,61.75778610003181
raw,raw_d1_smooth_none,neuralforecast_single_hidden_match_lookback,0.0001,7499,0.009527592919766903,0.009155916050076485,0.009591117649089346,0.012083259612504015,7.6376723364548145,4.856882228210967,-0.00011058926119251371,0.9998129551128938,80.90918019996025
