model_key,model_label,split,granularity,mae,rmse,mape,smape,bias,r2,configuration,mae_rank
univariate_mlp_target_lags,Univariate MLP Target Lags,test,1min,0.3026892161841743,0.38373853962797216,293.52857558144353,62.92245177522988,0.0030929359754597796,0.8101765821217713,first_difference | smooth=none | lr=0.01,1.0
univariate_mlp_target_lags,Univariate MLP Target Lags,test,1min,0.3056374775855598,0.3883070959059848,282.1907081162352,62.63823066916314,0.0035963664477336103,0.80562983392424,first_difference | smooth=none | lr=0.01,2.0
univariate_mlp_target_lags,Univariate MLP Target Lags,test,30s,0.30364119350992685,0.3834826926115836,153.59070884517152,65.56771655255761,-0.03308498439233054,0.8113065473077559,level | smooth=none | lr=0.01,1.0
univariate_mlp_target_lags,Univariate MLP Target Lags,test,30s,0.30902418001795195,0.3906275080539962,162.16927778964583,66.2258511814137,-0.054602745864687365,0.8042098039432497,level | smooth=none | lr=0.01,2.0
univariate_mlp_target_lags,Univariate MLP Target Lags,test,raw,0.3097244179042798,0.3929133039181845,214.05508878083174,64.6382111841482,-0.004802135038300026,0.8023149755226127,first_difference | smooth=none | lr=0.0001,1.0
univariate_mlp_target_lags,Univariate MLP Target Lags,test,raw,0.31029527539248575,0.39374409153325773,213.65903570080346,64.73628937631321,-0.004700006670009537,0.801478109479633,first_difference | smooth=none | lr=0.0001,2.0
