granularity,candidate_label,model_variant,learning_rate_init,training_steps,final_train_loss,best_train_loss,mae,rmse,mape,smape,bias,r2,training_seconds
1min,1min_d1_smooth_none,neuralforecast_2_hidden_fixed_16,0.01,4999,0.14155668020248413,0.14001326262950897,0.3056374775855598,0.3883070959059848,282.1907081162352,62.63823066916314,0.0035963664477336103,0.80562983392424,83.8318622999941
1min,1min_d1_smooth_none,neuralforecast_2_hidden_match_lookback,0.01,4999,0.14300867915153503,0.14174866676330566,0.3026892161841743,0.38373853962797216,293.52857558144353,62.92245177522988,0.0030929359754597796,0.8101765821217713,82.99196839996148
30s,30s_d0_smooth_none,neuralforecast_2_hidden_fixed_16,0.01,11999,0.20333965122699738,0.1965893656015396,0.30902418001795195,0.3906275080539962,162.16927778964583,66.2258511814137,-0.054602745864687365,0.8042098039432497,235.67293900001096
30s,30s_d0_smooth_none,neuralforecast_2_hidden_match_lookback,0.01,11999,0.20593507587909698,0.19828905165195465,0.30364119350992685,0.3834826926115836,153.59070884517152,65.56771655255761,-0.03308498439233054,0.8113065473077559,233.51704139995854
raw,raw_d1_smooth_none,neuralforecast_2_hidden_fixed_16,0.0001,4999,0.019390517845749855,0.01921999081969261,0.31029527539248575,0.39374409153325773,213.65903570080346,64.73628937631321,-0.004700006670009537,0.801478109479633,3377.593361300009
raw,raw_d1_smooth_none,neuralforecast_2_hidden_match_lookback,0.0001,4999,0.019270554184913635,0.019065136089920998,0.3097244179042798,0.3929133039181845,214.05508878083174,64.6382111841482,-0.004802135038300026,0.8023149755226127,4771.501740499982
