granularity,candidate_label,model_variant,learning_rate_init,training_steps,final_train_loss,best_train_loss,mae,rmse,mape,smape,bias,r2,training_seconds
1min,1min_d1_smooth_none,neuralforecast_single_hidden_match_lookback,0.0001,7499,0.14358344674110413,0.14205509424209595,0.30280022403422346,0.38397724860097454,287.65656234198565,62.90819413619363,0.0026932330428417104,0.8099403449860647,92.59434009995311
30s,30s_d0_smooth_none,neuralforecast_single_hidden_match_lookback,0.0001,7499,0.22316479682922363,0.21919362246990204,0.3109733612263334,0.3932632325527836,146.65875719051746,66.94505193495424,-0.03952257142763948,0.8015587360937008,168.67745970003307
raw,raw_d1_smooth_none,neuralforecast_single_hidden_match_lookback,0.0001,7499,0.01916097104549408,0.019088588654994965,0.3095393905945249,0.3922298963891433,214.26213146640643,64.62878665025374,-0.0047087799424930365,0.8030020580990005,32022.668455899984
