date,TE_8313B.AV_0#,PT_8313C.AV_0#,PTCA_8322A.AV_0#,TE_8319A.AV_0#,TE_8303.AV_0#,TE_8332A.AV_0#,ZZQBCHLL.AV_0#,FT_8301.AV_0#,FT_8306A.AV_0#,AIR_8301A.AV_0#,YFJ3_AI.AV_0#,YFJ3_ZD2.AV_0#,SXLTCYZ.AV_0#,ZCLCCY.AV_0#
2022-03-27 14:33:54,780.423,-159.16316666666668,9.7485,352.71,210.29716666666667,538.9145,60.897000000000006,47462.41733333333,716.234,1.5743333333333331,23.221166666666665,6.33,-139.03633333333335,10754.488666666666
2022-03-27 14:38:54,780.5365,-204.00133333333332,9.8565,353.1103333333333,209.34183333333334,541.5181666666666,60.625,47393.399,718.8346666666667,1.7354999999999998,22.6085,6.569333333333334,-167.48733333333334,10736.908
2022-03-27 14:43:54,769.8925,-171.0215,9.762,351.74066666666664,208.34516666666664,538.7315,58.946000000000005,47500.30933333333,720.4050000000001,2.4493333333333336,22.171,6.640833333333333,-141.7133333333333,10757.177333333333
2022-03-27 14:48:54,765.6655,-148.8845,9.791666666666666,350.8555,206.99183333333335,535.2946666666667,57.564,47827.80433333334,718.1371666666668,2.378333333333333,22.070333333333334,6.561166666666667,-112.714,10716.410333333333
2022-03-27 14:53:54,758.3718333333333,-147.39516666666665,9.756499999999999,350.0493333333333,205.79433333333333,532.711,57.830666666666666,47965.87,717.8133333333334,2.5873333333333335,21.96466666666667,6.415666666666667,-113.34433333333332,10646.858
2022-03-27 14:58:54,760.6858333333333,-115.61833333333334,9.686833333333334,349.4,204.73166666666665,530.2263333333334,58.281,48568.17716666667,719.5948333333333,2.4301666666666666,22.113666666666667,6.507000000000001,-80.761,10593.999666666667
2022-03-27 15:03:54,768.0998333333333,-85.56783333333333,9.716000000000001,349.4051666666667,204.00633333333332,530.3661666666667,58.53066666666667,48867.598666666665,715.3755,1.9191666666666667,22.250333333333334,6.5181666666666676,-52.593666666666664,10539.904333333334
2022-03-27 15:08:54,769.8671666666667,-101.0215,9.741999999999999,349.3086666666667,203.69283333333334,532.372,59.39066666666667,48840.72233333333,717.3575,1.9348333333333334,21.963166666666666,6.546833333333334,-65.32866666666666,10505.979333333333
2022-03-27 15:13:54,769.9078333333333,-139.70200000000003,9.706666666666667,348.9123333333334,203.3415,531.984,58.91233333333333,48722.23033333333,714.6516666666666,1.8066666666666669,22.37183333333333,6.430166666666667,-145.342,10521.147666666666
2022-03-27 15:18:54,773.1233333333333,-96.57166666666667,9.839166666666667,349.09816666666666,203.36866666666666,536.837,58.47266666666667,48556.248999999996,717.8629999999999,1.8018333333333334,22.051333333333332,6.315166666666667,-67.05933333333333,10538.263
2022-03-27 15:23:54,769.948,-91.72800000000001,9.726333333333335,348.78433333333334,203.48866666666666,538.6091666666666,58.684,47181.5625,717.8080000000001,2.1381666666666663,21.8825,5.7495,-55.925666666666665,10419.250666666667
2022-03-27 15:28:54,768.4925000000001,-111.07966666666667,9.705166666666665,348.5083333333333,203.73416666666665,538.1736666666667,58.31733333333333,46946.65883333333,716.4781666666667,1.6211666666666666,22.218666666666667,5.918833333333334,-73.60633333333334,10421.190999999999
2022-03-27 15:33:54,774.7165,-176.44500000000002,9.784333333333333,348.39183333333335,204.11866666666668,539.8521666666667,58.64633333333334,46854.57083333333,717.4835,1.2671666666666668,21.48166666666667,6.440833333333333,-139.09266666666664,10445.172666666667
2022-03-27 15:38:54,770.7918333333333,-211.18816666666666,9.791166666666667,347.42483333333337,204.01333333333332,538.9596666666666,59.35366666666667,46999.687999999995,718.8276666666666,1.6221666666666665,21.92233333333333,6.201666666666667,-210.99333333333334,10506.840666666665
2022-03-27 15:43:54,773.6716666666667,-148.611,9.722000000000001,347.58349999999996,203.71183333333332,536.2978333333333,59.50366666666666,47648.82466666667,719.1560000000001,2.0015,22.255166666666664,6.207166666666667,-131.24766666666667,10609.773666666668
2022-03-27 15:48:54,772.7605,-135.80249999999998,9.711333333333332,348.1245,203.69816666666665,535.977,58.70766666666667,47277.301499999994,717.7956666666666,1.9869999999999999,22.335833333333333,6.59,-95.66433333333333,10623.239
