date,TE_8313B.AV_0#,PT_8313C.AV_0#,PTCA_8322A.AV_0#,TE_8319A.AV_0#,TE_8303.AV_0#,TE_8332A.AV_0#,ZZQBCHLL.AV_0#,FT_8301.AV_0#,FT_8306A.AV_0#,AIR_8301A.AV_0#,YFJ3_AI.AV_0#,YFJ3_ZD2.AV_0#,SXLTCYZ.AV_0#,ZCLCCY.AV_0#
2022-03-27 14:29:24,774.3833333333333,-149.585,9.701666666666666,352.51,210.96,538.2633333333333,60.68333333333334,47096.59,718.4766666666666,1.8150000000000002,22.583333333333332,8.066666666666668,-129.93666666666667,10719.976666666667
2022-03-27 14:29:54,776.3166666666666,-162.36833333333334,9.71,352.51,210.80499999999998,538.2033333333334,60.36666666666667,47507.924999999996,718.2916666666666,1.76,23.2,6.69,-142.24666666666667,10714.546666666667
2022-03-27 14:30:24,776.995,-158.32666666666668,9.72,352.535,210.61666666666667,538.26,60.4,47474.880000000005,716.0516666666667,1.6449999999999998,23.123333333333335,6.271666666666666,-141.09666666666666,10738.703333333333
2022-03-27 14:30:54,779.085,-154.9,9.725,352.57,210.475,538.39,61.07666666666666,47593.84166666667,717.8183333333333,1.5683333333333334,23.13,6.113333333333333,-138.29999999999998,10776.446666666665
2022-03-27 14:31:24,780.7316666666667,-160.66333333333333,9.733333333333334,352.62833333333333,210.32333333333335,538.5600000000001,60.93666666666667,47558.59333333333,710.4666666666667,1.455,23.438333333333333,5.951666666666667,-136.62,10819.593333333332
2022-03-27 14:31:54,782.3016666666666,-159.61333333333332,9.75,352.69,210.20000000000002,538.785,60.343333333333334,47696.75666666666,716.4616666666667,1.4349999999999998,23.488333333333333,5.328333333333333,-151.17,10811.576666666666
2022-03-27 14:32:24,783.13,-154.50666666666666,9.771666666666667,352.7366666666667,210.0566666666667,539.0783333333334,60.76666666666667,47331.369999999995,714.9,1.5066666666666666,23.451666666666668,7.141666666666667,-137.57,10695.216666666667
2022-03-27 14:32:54,783.8366666666667,-155.0666666666667,9.781666666666666,352.865,209.93999999999997,539.495,61.339999999999996,47303.36000000001,716.7116666666667,1.5216666666666667,23.64,5.701666666666667,-133.65666666666667,10738.99
2022-03-27 14:33:24,784.195,-162.17499999999998,9.79,352.98499999999996,209.83333333333334,539.8816666666667,61.78333333333334,47641.68,719.1716666666666,1.51,23.031666666666666,5.208333333333333,-130.97333333333333,10747.766666666668
2022-03-27 14:33:54,783.255,-174.42666666666665,9.801666666666668,353.07,209.76166666666666,540.2283333333334,61.27333333333333,47419.176666666666,713.9899999999999,1.5266666666666666,23.125,6.826666666666667,-148.79333333333332,10782.07
2022-03-27 14:34:24,782.2366666666667,-178.42666666666665,9.818333333333333,353.12999999999994,209.655,540.545,60.78333333333333,47323.50333333333,714.1816666666667,1.5,23.11,6.325,-150.44,10778.300000000001
2022-03-27 14:34:54,782.23,-180.31499999999997,9.831666666666667,353.2083333333333,209.585,540.8566666666667,61.39333333333334,47113.89833333334,718.4083333333333,1.5016666666666667,23.103333333333335,5.181666666666667,-147.86666666666667,10718.343333333332
2022-03-27 14:35:24,783.8716666666666,-169.69833333333335,9.851666666666667,353.22499999999997,209.51166666666666,541.1866666666666,60.85666666666666,47317.204999999994,715.2866666666667,1.505,22.96666666666667,6.63,-141.99333333333334,10776.063333333334
2022-03-27 14:35:54,783.5033333333334,-192.03666666666666,9.87,353.24666666666667,209.43499999999997,541.5283333333333,60.74,47702.73333333334,724.0450000000001,1.54,22.753333333333334,5.383333333333333,-142.72333333333333,10783.646666666667
2022-03-27 14:36:24,782.995,-203.785,9.873333333333333,353.24499999999995,209.38666666666666,541.7816666666666,60.59666666666667,47443.72,721.8483333333334,1.6316666666666666,22.78,7.043333333333333,-157.21333333333334,10737.593333333332
2022-03-27 14:36:54,781.235,-206.78166666666667,9.88,353.22333333333336,209.32500000000002,541.9266666666666,60.46,47096.59,720.0066666666667,1.7149999999999999,22.796666666666667,5.805,-166.69333333333333,10696.710000000001
2022-03-27 14:37:24,779.335,-213.60500000000002,9.88,353.1483333333333,209.24166666666667,542.0500000000001,60.593333333333334,47450.96,719.3866666666667,1.8166666666666667,22.368333333333336,7.041666666666667,-175.53666666666666,10770.823333333334
