date,production_units,liters_produced,efficiency,gallons_per_hour,monitored_time_dec,operation_time_dec,pause_time_dec
2022-07-22,2849,8547,0.5745132353469528,562.6158642599534,8.814149999999993,5.063845833333339,3.7503041666666532
2022-07-26,2243,6729,0.4046376115974337,1231.7719925179722,4.500209166666661,1.8209538888888752,2.6792552777777856
2022-08-01,754,2262,0.26910944150793603,926.8934318413711,3.0228222222222203,0.8134699999999998,2.20935222222222
2022-08-04,1090,3270,0.4212542953347112,474.8118600355313,5.4495494444444414,2.2956461111111097,3.1539033333333313
2022-09-02,907,4535,0.2879542967465605,629.3754818812649,5.004652222222218,1.44111111111111,3.5635411111111077
2022-09-06,1262,3786,0.7334178834140013,484.68482577611667,3.5501641666666615,2.6037538888888943,0.9464102777777671
2022-09-08,907,4535,0.23950233939255117,686.4367976541905,5.516923611111108,1.3213161111111116,4.195607499999997
2022-09-12,892,4460,0.3780342950498129,657.8288329868211,3.586912222222221,1.355975833333335,2.230936388888886
2022-09-15,1942,5826,0.492191421761799,641.1002950755991,6.154449444444441,3.029167222222223,3.125282222222218
2022-09-20,780,3900,0.21787681228680503,796.2663953462642,4.495988611111108,0.9795716666666681,3.51641694444444
2022-09-22,1501,4503,0.4774198306129945,559.8062703150703,5.616198888888886,2.6812847222222196,2.934914166666666
2022-09-28,552,2468,1.062033373019979,1205.6593474350827,1.662583611111112,0.954168333333332,0.7084152777777804
2022-10-07,1282,3846,0.43685715094392524,786.8855142274427,3.7293833333333297,1.6292077777777576,2.1001755555555723
2022-10-10,672,2594,0.8063440510685982,1890.4666997293816,1.8584130555555531,0.7714477777777644,1.0869652777777885
2022-10-11,348,1740,0.4605810075157355,534.8938388581015,1.412555833333334,0.6505963888888963,0.7619594444444376
2022-10-13,1007,3021,0.31769265951018494,535.8850995649154,5.914943611111107,1.8791341666666646,4.035809444444442
2022-10-20,301,903,0.9484073598718956,301.0,0.8083624999999997,0.7666569444444449,0.23334305555555426
2022-10-24,1250,3902,0.7353276981592349,636.0249973948985,4.65439722222222,1.624911111111103,2.5792555555555605
2022-10-25,1973,5919,0.5688031896615007,345.72123969013035,5.706909999999995,3.246108611111112,2.4608013888888833
2022-10-26,428,1284,0.5560701766696908,337.87954708176477,1.2667236111111118,0.7043872222222246,0.562336388888887
2022-10-28,458,1374,0.3892681574575878,248.6763054374866,1.8417516666666667,0.7169352777777748,1.1248163888888918
2022-10-31,1739,5217,0.4728109604481979,241.79776662660925,7.191960555555551,3.4004377777777752,3.7915227777777756
2022-11-03,998,2994,0.2907534760673178,177.35573790585477,5.627108611111107,1.636101388888891,3.991007222222216
2022-11-08,1388,4164,0.528521650506956,225.37567348167087,6.158606111111109,3.2549566666666685,2.9036494444444396
2022-11-11,574,2870,0.4274377380213946,196.9802650825886,2.9139974999999976,1.2455524999999978,1.6684449999999997
2022-11-14,330,990,0.5732687193530166,341.36410590907644,0.9667097222222206,0.5541844444444428,0.4125252777777778
2022-11-15,1322,3966,0.46429634941549486,283.2724105992882,4.666885833333328,2.1668180555555536,2.5000677777777742
2022-11-21,606,3030,0.2896277371000365,137.20129113609613,4.416868055555551,1.2792474999999928,3.137620555555559
