Target_1,Output_1,Target_2,Output_2,Target_3,Output_3,Target_4,Output_4,Target_5,Output_5,Target_6,Output_6,Target_7,Output_7,Target_8,Output_8,Target_9,Output_9,Target_10,Output_10,Target_11,Output_11
131,81,250,185,392,295,534,438,534,452,676,568,818,689,937,820,1079,943,1150,1050,1150,1050
131,127,250,250,392,375,534,425,534,500,676,625,818,725,937,850,1079,977,1150,1100,1150,1150
171,168,326,400,511,617,696,932,696,1024,881,1176,1066,1336,1221,1513,1406,1686,1500,1788,1500,1880
171,263,326,579,511,847,696,1136,696,1238,881,1588,1066,1868,1221,2082,1406,2295,1500,2514,1500,2585
137,102,261,242,409,409,557,557,557,594,705,725,853,896,977,1027,1125,1181,1200,1332,1200,1351
183,134,349,285,547,464,745,615,745,657,943,793,1141,999,1307,1109,1505,1281,1600,1414,1600,1489
183,150,349,278,547,467,745,551,745,619,943,852,1141,1033,1307,1219,1505,1421,1600,1520,1600,1642
183,145,349,281,547,453,745,612,745,686,943,860,1141,1030,1307,1157,1505,1322,1600,1484,1600,1536
183,119,349,220,547,336,745,537,745,626,943,716,1141,904,1307,1090,1505,1271,1600,1449,1600,1569
192,139,367,224,559,579,751,785,751,818,943,981,1135,1199,1310,1351,1502,1484,1600,1626,1600,1626
192,36,367,77,559,542,751,736,751,765,943,922,1135,1146,1310,1301,1502,1480,1600,1599,1600,1599
192,123,367,217,559,511,751,703,751,743,943,931,1135,1138,1310,1320,1502,1516,1600,1583,1600,1583
192,119,367,232,559,440,751,631,751,669,943,833,1135,1051,1310,1253,1502,1487,1600,1602,1600,1602
137,137,262,237,410,354,555,466,555,532,703,647,851,792,976,934,1123,1067,1200,1153,1200,1153
192,163,367,301,559,533,751,726,751,770,943,981,1135,1136,1310,1273,1502,1444,1600,1495,1600,1495
192,111,367,230,559,437,751,513,751,610,943,841,1135,947,1310,1094,1502,1222,1600,1317,1600,1317
192,38,367,177,559,339,751,369,751,375,943,453,1135,516,1310,1157,1502,1340,1600,1393,1600,1393
126,44,240,71,376,131,512,228,512,278,648,340,784,478,898,618,1034,774,1100,853,1100,853
183,232,349,382,547,644,745,781,745,835,943,1101,1141,1340,1307,1501,1505,1668,1600,1784,1600,1784
183,175,349,305,547,537,745,729,745,826,943,1011,1141,1189,1307,1361,1505,1497,1600,1670,1600,1670
183,152,349,262,547,445,745,664,745,796,943,947,1141,1141,1307,1328,1505,1509,1600,1668,1600,1668
149,149,284,284,445,408,606,542,606,601,767,768,928,931,1063,1065,1224,1219,1300,1355,1300,1392
149,120,284,252,445,424,606,538,606,582,767,742,928,889,1063,1034,1224,1199,1300,1362,1300,1400
228,448,435,563,682,801,929,888,929,961,1176,1188,1423,1411,1630,1632,1877,1819,2000,1998,2000,2028
228,3108,435,3334,682,3569,929,3814,929,3935,1176,4096,1423,4217,1630,4242,1877,4305,2000,4305,2000,4305
170,241,330,495,505,590,680,855,680,1019,855,1226,1030,1398,1190,1600,1365,1797,1500,1527,1500,1574
170,93,330,169,505,403,680,470,680,629,855,730,1030,949,1190,1021,1365,1095,1500,1356,1500,1504
170,182,330,345,505,460,680,627,680,642,855,803,1030,986,1190,1117,1365,1270,1500,1471,1500,1535
177,1398,337,1476,528,1557,719,1575,719,1585,910,1657,1101,1740,1261,1794,1452,1924,1550,2079,1550,2079
115,70,219,100,343,136,467,228,467,254,591,350,715,392,819,420,943,451,1000,466,1000,466
68,46,130,115,204,174,278,230,278,251,352,337,426,368,488,421,562,483,600,562,600,1879
68,44,130,95,204,133,278,185,278,207,352,338,426,381,488,433,562,474,600,519,600,8
68,32,130,99,204,165,278,233,278,245,352,311,426,369,488,435,562,510,600,580,600,415
80,72,153,109,240,187,327,245,327,287,414,381,501,413,574,503,661,587,700,668,700,668
80,58,153,79,240,88,327,276,327,346,414,466,501,584,574,674,661,704,700,771,700,777
149,112,284,241,445,362,606,470,606,604,767,761,928,851,1063,951,1224,1054,1300,1173,1300,1173
217,320,414,525,649,714,884,901,884,1041,1119,1189,1354,1335,1551,1568,1786,1800,1900,1990,1900,2015
217,207,414,444,649,666,884,857,884,1011,1119,1236,1354,1336,1551,1574,1786,1587,1900,1587,1900,1587
160,110,305,200,478,345,651,594,651,628,824,753,997,851,1142,972,1315,1098,1400,1226,1400,1240
160,153,305,264,478,381,651,497,651,525,824,582,997,694,1142,874,1315,1015,1400,1180,1400,1222
177,2103,337,2203,528,2272,719,2341,719,2381,910,2433,1101,2511,1261,2581,1452,2668,1550,2750,1550,2794
115,172,219,306,343,463,467,583,467,627,591,792,715,975,819,1118,943,1223,1000,1274,1000,1276
68,7,130,40,204,60,278,103,278,127,352,174,426,206,488,245,562,298,600,328,600,334
239,150,456,418,715,490,974,741,974,776,1233,959,1492,1193,1709,1512,1968,1723,2100,2021,2100,2021
239,3610,456,3698,715,3763,974,3811,974,3837,1233,3910,1492,3976,1709,4074,1968,4191,2100,4309,2100,4327
137,115,261,200,409,219,557,531,557,582,705,655,853,749,977,922,1125,1131,1200,1228,1200,1272
137,130,261,187,409,233,557,298,557,371,705,432,853,524,977,612,1125,722,1200,788,1200,798
149,96,284,201,445,341,606,475,606,544,767,684,928,810,1063,919,1224,1055,1300,1177,1300,1222
228,255,435,457,682,717,929,910,929,962,1176,1205,1423,1418,1630,1624,1877,1806,2000,2005,2000,2042
170,189,330,304,505,537,680,654,680,699,855,909,1030,1143,1190,1311,1365,1510,1500,1665,1500,1678
170,86,330,310,505,458,680,585,680,668,855,803,1030,946,1190,1114,1365,1298,1500,1481,1500,1500
170,129,330,335,505,438,680,653,680,710,855,867,1030,1007,1190,1149,1365,1270,1500,1489,1500,1503
170,32,330,183,505,230,680,512,680,602,855,709,1030,966,1190,1062,1365,1171,1500,1403,1500,1500
177,2477,337,2573,528,2662,719,2733,719,2755,910,2862,1101,2938,1261,3027,1452,3105,1550,3169,1550,3209
115,92,219,171,343,299,467,385,467,434,591,535,715,603,819,681,943,698,1000,698,1000,698
115,948,219,1043,343,1124,467,1218,467,1258,591,1371,715,1481,819,1589,943,1694,1000,1780,1000,1834
115,112,219,194,343,292,467,385,467,406,591,547,715,609,819,715,943,826,1000,875,1000,875
68,1,130,3,204,14,278,16,278,18,352,30,426,35,488,47,562,51,600,57,600,57
68,60,130,106,204,151,278,203,278,206,352,278,426,328,488,373,562,430,600,475,600,485
119,54,227,123,356,207,485,321,485,343,614,441,743,525,851,602,980,659,1050,728,1050,728
119,83,227,201,356,286,485,337,485,349,614,416,743,475,851,517,980,540,1050,580,1050,580
119,99,227,203,356,262,485,349,485,392,614,468,743,569,851,670,980,756,1050,876,1050,876
91,30,173,140,272,212,371,318,371,328,470,428,569,515,651,565,750,619,850,731,850,731
91,91,173,175,272,261,371,346,371,385,470,454,569,544,651,634,750,709,850,786,850,786
86,70,163,135,256,180,349,276,349,306,442,364,535,430,612,523,705,584,800,653,800,653
86,47,163,85,256,226,349,273,349,384,442,431,535,532,612,581,705,658,800,684,800,687
86,66,163,159,256,266,349,353,349,395,442,459,535,513,612,567,705,677,800,822,800,829
86,60,163,140,256,259,349,343,349,383,442,446,535,516,612,601,705,736,800,739,800,739
239,216,456,471,715,618,974,824,974,1051,1233,1166,1492,1357,1709,1409,1968,1582,2100,1798,2100,1798
239,242,456,490,715,787,974,1008,974,1109,1233,1291,1492,1527,1709,1685,1968,1844,2100,2012,2100,2012
194,149,370,328,580,564,790,704,790,734,1000,845,1210,1108,1386,1327,1596,1498,1700,1659,1700,1678
194,34,370,358,580,461,790,487,790,753,1000,801,1210,1136,1386,1186,1596,1243,1700,1280,1700,1290
194,164,370,358,580,505,790,659,790,772,1000,901,1210,1067,1386,1271,1596,1495,1700,1666,1700,1679
194,128,370,299,580,474,790,654,790,732,1000,823,1210,989,1386,1179,1596,1355,1700,1480,1700,1480
228,188,435,430,682,663,929,891,929,935,1176,1136,1423,1292,1630,1575,1877,1782,2000,1850,2000,1850
228,188,435,408,682,649,929,873,929,890,1176,1037,1423,1256,1630,1507,1877,1748,2000,1851,2000,1851
156,113,296,233,452,319,608,417,608,450,764,551,920,871,1065,951,1221,1062,1300,1314,1300,1314
177,269,337,429,528,580,719,792,719,892,910,1006,1101,1157,1261,1333,1452,1462,1550,1566,1550,1566
177,207,337,325,528,435,719,589,719,651,910,766,1101,1072,1261,1213,1452,1328,1550,1500,1550,1500
177,192,337,379,528,558,719,708,719,771,910,948,1101,1137,1261,1306,1452,1447,1550,1550,1550,1550
177,163,337,296,528,458,719,638,719,694,910,842,1101,996,1261,1165,1452,1316,1550,1492,1550,1493
74,52,141,95,221,148,301,215,301,231,381,280,461,322,528,405,608,475,650,554,650,554
74,53,141,106,221,164,301,211,301,218,381,258,461,284,528,320,608,357,650,415,650,417
105,18,205,37,320,185,435,259,435,278,550,403,665,435,775,561,890,634,1000,786,1000,816
63,39,120,50,188,61,256,220,256,242,324,250,392,273,449,318,517,364,550,419,550,446
63,49,120,104,188,135,256,184,256,205,324,276,392,317,449,356,517,396,550,461,550,467
63,49,120,92,188,151,256,205,256,228,324,271,392,328,449,388,517,421,550,431,550,431
63,55,120,94,188,135,256,175,256,199,324,260,392,318,449,372,517,433,550,493,550,500
70,103,143,186,230,299,317,391,317,408,404,475,491,591,564,705,651,768,700,799,700,799
70,45,143,80,230,122,317,169,317,182,404,212,491,240,564,282,651,297,700,306,700,306
115,44,219,91,343,164,467,232,467,261,591,342,715,413,819,604,943,637,1000,741,1000,741
80,226,153,342,240,468,327,612,327,633,414,815,501,1021,574,1233,661,1416,700,1544,700,1544
80,140,153,408,240,539,327,630,327,678,414,756,501,866,574,977,661,1062,700,1120,700,1120
80,60,153,155,240,232,327,321,327,337,414,445,501,519,574,627,661,745,700,790,700,790
228,298,435,533,682,794,929,954,929,1124,1176,1327,1423,1570,1630,1737,1877,1966,2000,2074,2000,2074
228,200,435,411,682,650,929,874,929,1048,1176,1247,1423,1473,1630,1699,1877,1904,2000,2095,2000,2095
228,250,435,450,682,750,929,900,929,1000,1176,1200,1423,1470,1630,1700,1877,1900,2000,2050,2000,2050
228,201,435,414,682,689,929,857,929,1042,1176,1204,1423,1441,1630,1619,1877,1811,2000,1965,2000,1965
68,12,130,40,204,75,278,214,278,216,352,243,426,271,488,297,562,332,600,483,600,490
68,45,130,69,204,105,278,137,278,142,352,169,426,199,488,231,562,273,600,321,600,335
131,91,250,220,392,318,534,482,534,551,676,572,818,779,937,847,1079,997,1150,1072,1150,1072
131,78,250,188,392,337,534,411,534,546,676,603,818,754,937,870,1079,993,1150,1076,1150,1076
131,84,250,208,392,327,534,446,534,523,676,616,818,719,937,860,1079,986,1150,1110,1150,1110
131,100,250,200,392,320,534,420,534,513,676,632,818,750,937,850,1079,975,1150,1101,1150,1101
57,88,109,134,171,193,233,230,233,254,295,316,357,373,409,463,471,526,500,610,500,610
57,47,109,83,171,167,233,220,233,232,295,281,357,325,409,419,471,439,500,529,500,529
57,35,109,93,171,149,233,209,233,217,295,326,357,425,409,477,471,544,500,505,500,505
171,154,326,338,511,509,696,703,696,759,881,951,1066,1039,1221,1104,1406,1180,1500,1232,1500,1232
171,236,326,377,511,564,696,734,696,840,881,981,1066,1143,1221,1317,1406,1482,1500,1622,1500,1622
171,293,326,395,511,561,696,703,696,848,881,1016,1066,1234,1221,1439,1406,1624,1500,1724,1500,1726
171,246,326,483,511,666,696,857,696,1000,881,1091,1066,1208,1221,1426,1406,1459,1500,1488,1500,1488
85,136,162,288,254,293,346,401,346,426,438,481,530,567,607,634,699,731,750,814,750,830
85,83,162,171,254,235,346,327,346,353,438,422,530,494,607,590,699,718,750,822,750,852
120,177,225,276,345,423,465,559,465,621,585,752,705,819,810,962,930,1057,1000,1057,1000,1057
120,104,225,205,345,310,465,418,465,424,585,551,705,650,810,785,930,926,1000,965,1000,965
160,166,305,354,478,568,651,848,651,870,824,996,997,1145,1142,1280,1315,1406,1400,1550,1400,1550
160,151,305,335,478,531,651,664,651,688,824,891,997,1163,1142,1314,1315,1553,1400,1694,1400,1694
160,140,305,285,478,415,651,552,651,594,824,722,997,873,1142,1142,1315,1409,1400,1611,1400,1611
103,199,196,242,307,281,418,295,418,333,529,362,640,413,733,455,844,508,900,548,900,555
126,200,240,346,376,465,512,550,512,603,648,718,784,845,898,935,1034,1042,1100,79,1100,107
126,121,240,191,376,364,512,528,512,558,648,706,784,828,898,954,1034,1047,1100,53,1100,68
126,29,240,191,376,380,512,549,512,593,648,721,784,796,898,942,1034,1157,1100,52,1100,52
126,77,240,223,376,356,512,530,512,557,648,658,784,787,898,924,1034,1082,1100,26,1100,41
69,4,127,110,196,167,265,254,265,273,334,323,403,390,461,456,524,529,600,600,600,600
268,87,510,485,801,703,1092,1029,1092,1187,1383,1426,1674,1668,1916,2010,2207,2256,2500,2503,2500,2521
268,39,510,405,801,653,1092,1135,1092,1215,1383,1443,1674,1616,1916,1964,2207,2235,2500,2475,2500,2513
268,62,510,433,801,845,1092,970,1092,1132,1383,1365,1674,1637,1916,1915,2207,2118,2500,2292,2500,2296
268,67,510,508,801,745,1092,1029,1092,1115,1383,1433,1674,1666,1916,1907,2207,2141,2500,2376,2500,2420
214,36,408,481,641,700,874,956,874,1077,1107,1250,1340,1443,1534,1615,1767,1801,2000,1964,2000,1964
214,99,408,490,641,694,874,913,874,1015,1107,1251,1340,1455,1534,1679,1767,1891,2000,2038,2000,2038
214,100,408,497,641,700,874,880,874,940,1107,1162,1340,1370,1534,1570,1767,1750,2000,2020,2000,2020
214,13,408,406,641,673,874,899,874,943,1107,1146,1340,1362,1534,1545,1767,1788,2000,1941,2000,1953
214,53,408,300,641,501,874,750,874,900,1107,1107,1340,1362,1534,1500,1767,1820,2000,1820,2000,1820
162,45,307,305,484,516,661,641,661,681,838,898,1015,1044,1160,1159,1337,1361,1500,1588,1500,1588
162,31,307,257,484,437,661,604,661,647,838,833,1015,1001,1160,1129,1337,1401,1500,1568,1500,1568
162,7,307,308,484,470,661,562,661,636,838,819,1015,1028,1160,1200,1337,1409,1500,1534,1500,1534
169,59,323,353,508,561,693,737,693,773,878,970,1063,1133,1217,1305,1402,1482,1600,1601,1600,1601
353,90,672,893,1056,1181,1440,1508,1440,1602,1824,1870,2208,2399,2527,2636,2911,2891,3300,3470,3300,3470
353,213,672,888,1056,1245,1440,1584,1440,1808,1824,2119,2208,2415,2527,2663,2911,2872,3300,2872,3300,2872
353,25,672,635,1056,1181,1440,1508,1440,1602,1824,2031,2208,2418,2527,2830,2911,3032,3300,3507,3300,3507
353,90,672,637,1056,1245,1440,1584,1440,1810,1824,1912,2208,2245,2527,2616,2911,3012,3300,3406,3300,3485
106,16,202,215,319,343,436,464,436,487,553,576,670,658,766,779,883,881,1000,1002,1000,1042
106,15,202,233,319,287,436,421,436,496,553,574,670,660,766,768,883,874,1000,1014,1000,1014
106,22,202,215,319,284,436,401,436,487,553,553,670,672,766,779,883,872,1000,1000,1000,1000
355,172,674,575,1052,881,1430,1096,1430,1218,1808,1466,2186,1718,2505,1968,2883,2355,3200,2588,3200,2655
355,177,674,829,1052,1105,1430,1341,1430,1500,1808,1670,2186,1842,2505,2025,2883,2529,3200,2719,3200,2729
355,110,674,185,1052,916,1430,1159,1430,1239,1808,1519,2186,1722,2505,1957,2883,2462,3200,2671,3200,2702
355,128,674,181,1052,954,1430,1293,1430,1406,1808,1668,2186,1917,2505,2222,2883,2544,3200,2820,3200,2863
126,9,244,245,377,366,510,456,510,488,643,574,776,669,894,781,1027,895,1160,967,1200,1000
126,23,244,225,377,322,510,453,510,464,643,574,776,690,894,805,1027,908,1160,1025,1200,1037
128,38,243,260,382,370,521,472,521,501,660,664,799,743,914,838,1053,985,1200,1088,1200,1088
128,25,243,155,382,264,521,384,521,429,660,524,799,644,914,782,1053,890,1200,1008,1200,1018
128,16,243,166,382,227,521,341,521,501,660,509,799,614,914,733,1053,862,1200,1000,1200,1019
91,10,173,188,272,263,371,363,371,387,470,491,569,586,651,670,750,770,850,845,850,858
91,36,173,179,272,267,371,363,371,395,470,465,569,555,651,630,750,713,850,819,850,819
91,50,173,188,272,314,371,404,371,417,470,523,569,586,651,734,750,770,850,922,850,940
91,14,173,179,272,279,371,378,371,393,470,479,569,555,651,683,750,713,850,908,850,922
172,96,327,379,514,520,701,667,701,702,888,871,1075,1042,1230,1176,1417,1358,1600,1534,1600,1554
172,29,327,326,514,510,701,654,701,734,888,865,1075,1056,1230,1191,1417,1370,1600,1529,1600,1552
172,36,327,266,514,481,701,645,701,708,888,831,1075,1000,1230,1137,1417,1295,1600,1425,1600,1441
172,41,327,261,514,398,701,553,701,658,888,797,1075,911,1230,1029,1417,1214,1600,1379,1600,1415
69,52,127,112,196,198,265,292,265,312,334,400,403,442,461,527,524,592,600,592,600,600
69,49,127,120,196,202,265,252,265,265,334,319,403,377,461,460,524,531,600,600,600,600
69,64,127,120,196,187,265,258,265,281,334,346,403,414,461,485,524,529,600,581,600,600
69,50,127,108,196,164,265,232,265,261,334,332,403,383,461,445,524,530,600,593,600,600
289,443,550,719,864,1048,1178,1264,1178,1408,1492,1770,1806,1965,2067,2284,2381,2532,2695,2776,2800,2860
289,214,550,503,864,765,1178,1116,1178,1209,1492,1577,1806,1931,2067,2146,2381,2432,2695,2690,2800,2798
289,332,550,666,864,1036,1178,1403,1178,1536,1492,1900,1806,2256,2067,2606,2381,2778,2695,2946,2800,2946
289,225,550,423,864,692,1178,975,1178,1095,1492,1410,1806,1732,2067,2071,2381,2394,2695,2584,2800,2677
214,233,408,430,641,684,874,900,874,957,1107,1152,1340,1383,1534,1604,1767,1806,2000,2007,2000,2036
214,220,408,411,641,640,874,860,874,910,1107,1240,1340,1440,1534,1580,1767,1830,2000,2030,2000,2030
214,276,408,430,641,736,874,902,874,954,1107,1194,1340,1444,1534,1657,1767,1892,2000,2050,2000,2050
160,130,304,301,478,460,652,657,652,673,826,852,1000,1002,1144,1150,1318,1350,1500,1601,1500,1601
160,230,304,388,478,575,652,773,652,787,826,973,1000,1157,1144,1330,1318,1504,1500,1606,1500,1606
160,186,304,302,478,488,652,751,652,809,826,979,1000,1103,1144,1145,1318,1535,1500,1611,1500,1611
160,132,304,307,478,447,652,703,652,768,826,905,1000,1050,1144,1180,1318,1494,1500,1632,1500,1632
169,248,323,414,508,572,693,737,693,831,878,1018,1063,1210,1217,1311,1402,1473,1600,1610,1600,1610
169,100,323,300,508,590,693,700,693,790,878,991,1063,1090,1217,1391,1402,1490,1600,1680,1600,1680
353,500,672,726,1056,1300,1440,1500,1440,1556,1824,1813,2208,2116,2527,2501,2911,3000,3300,3000,3300,3100
353,448,672,851,1056,1266,1440,1673,1440,2006,1824,2335,2208,2486,2527,2786,2911,3075,3300,3363,3300,3410
353,370,672,780,1056,1000,1440,1340,1440,1700,1824,2014,2208,2244,2527,2501,2911,3020,3300,3403,3300,3403
353,278,672,631,1056,1021,1440,1402,1440,1621,1824,1987,2208,2344,2527,2786,2911,3090,3300,3428,3300,3470
106,80,202,225,319,354,436,457,436,487,553,589,670,690,766,790,883,894,1000,996,1000,996
106,107,202,192,319,320,436,454,436,517,553,621,670,721,766,854,883,970,1000,1070,1000,1070
106,81,202,180,319,354,436,430,436,450,553,591,670,686,766,732,883,842,1000,986,1000,986
106,92,202,208,319,320,436,424,436,443,553,564,670,672,766,765,883,863,1000,1026,1000,1040
85,29,162,126,254,214,346,311,346,324,438,450,530,578,607,680,699,748,800,801,800,801
85,58,162,115,254,218,346,303,346,325,438,402,530,530,607,597,699,698,800,767,800,767
85,69,162,133,254,214,346,308,346,349,438,432,530,446,607,593,699,718,800,804,800,808
175,201,333,315,523,493,713,607,713,623,903,748,1093,1030,1251,1186,1441,1276,1631,1329,1700,1486
175,196,333,345,523,561,713,681,713,795,903,950,1093,1083,1251,1243,1441,1410,1631,1549,1700,1658
175,224,333,388,523,564,713,749,713,824,903,955,1093,1132,1251,1304,1441,1365,1631,1526,1700,1659
175,167,333,327,523,476,713,669,713,711,903,874,1093,1009,1251,1123,1441,1316,1631,1411,1700,1504
74,31,141,99,221,156,301,220,301,231,381,301,461,352,528,421,608,513,650,518,650,518
74,88,141,144,221,213,301,265,301,277,381,335,461,397,528,447,608,494,650,522,650,522
149,74,284,176,445,214,606,301,606,323,767,420,928,506,1063,611,1224,706,1300,706,1300,706
149,144,284,264,445,418,606,536,606,598,767,770,928,940,1063,1079,1224,1222,1300,1331,1300,1331
149,133,284,252,445,390,606,532,606,570,767,734,928,892,1063,1034,1224,1196,1300,1321,1300,1321
228,1515,435,1544,682,1560,929,1594,929,1611,1176,1632,1423,1651,1630,1707,1877,1751,2000,1754,2000,1754
228,810,435,840,682,909,929,935,929,941,1176,1026,1423,1145,1630,1185,1877,1222,2000,1238,2000,1238
170,38,330,80,505,603,680,753,680,781,855,915,1030,1067,1190,1223,1365,1302,1500,1422,1500,1428
170,164,330,264,505,404,680,572,680,723,855,905,1030,1035,1190,1131,1365,1278,1500,1385,1500,1391
177,1317,337,1418,528,1521,719,1595,719,1605,910,1813,1101,1931,1261,2034,1452,2190,1550,2337,1550,2337
96,64,181,148,277,225,373,307,373,316,469,384,565,453,650,521,746,593,801,612,801,612
96,50,181,103,277,192,373,269,373,299,469,352,565,426,650,499,746,572,801,605,801,605
96,48,181,126,277,206,373,284,373,303,469,358,565,432,650,510,746,579,801,619,801,619
68,43,130,63,204,89,278,152,278,164,352,192,426,230,488,282,562,299,600,316,600,316
68,20,130,66,204,105,278,167,278,173,352,199,426,244,488,295,562,320,600,320,600,320
126,140,240,254,376,393,512,518,512,531,648,666,784,758,898,895,1034,986,1100,1038,1100,1038
171,155,326,299,511,439,696,583,696,652,881,790,1066,951,1221,1089,1406,1202,1500,1375,1500,1375
171,137,326,283,511,390,696,552,696,609,881,779,1066,931,1221,1072,1406,1255,1500,1381,1500,1381
171,66,326,160,511,260,696,355,696,410,881,440,1066,540,1221,625,1406,684,1500,724,1500,724
171,23,326,107,511,192,696,259,696,328,881,389,1066,486,1221,539,1406,651,1500,734,1500,746
228,305,435,463,682,663,929,860,929,906,1176,1103,1423,1326,1630,1482,1877,1656,2000,1761,2000,1761
228,226,435,434,682,721,929,921,929,979,1176,1196,1423,1412,1630,1620,1877,1863,2000,1872,2000,1872
170,196,330,309,505,459,680,648,680,718,855,818,1030,1015,1190,1243,1365,1429,1500,1523,1500,1523
170,124,330,284,505,460,680,582,680,618,855,758,1030,1003,1190,1100,1365,1340,1500,1500,1500,1500
177,1645,337,1705,528,1808,719,1916,719,1947,910,2034,1101,2119,1261,2204,1452,2288,1550,2368,1550,2368
160,128,305,272,478,477,651,617,651,681,824,814,997,966,1142,1114,1315,1220,1400,1300,1400,1300
160,90,305,247,478,390,651,463,651,608,824,686,997,751,1142,908,1315,997,1400,1248,1400,1248
160,100,305,240,478,305,651,362,651,437,824,517,997,570,1142,666,1315,702,1400,758,1400,758
160,126,305,226,478,277,651,340,651,403,824,500,997,584,1142,625,1315,745,1400,766,1400,766
115,931,219,991,343,1074,467,1129,467,1177,591,1241,715,1285,819,1351,943,1415,1000,1449,1000,1449
115,105,219,210,343,337,467,462,467,484,591,652,715,757,819,862,943,953,1000,1100,1000,1100
115,105,219,210,343,351,467,481,467,525,591,665,715,765,819,871,943,971,1000,1134,1000,1134
80,78,153,162,240,234,327,282,327,310,414,383,501,462,574,538,661,592,700,626,700,626
80,58,153,115,240,182,327,243,327,321,414,385,501,457,574,519,661,587,700,630,700,630
149,64,284,126,445,191,606,230,606,246,767,379,928,441,1063,546,1224,589,1300,652,1300,652
149,80,284,174,445,263,606,367,606,390,767,491,928,574,1063,641,1224,750,1300,778,1300,778
217,471,414,581,649,732,884,976,884,1024,1119,1200,1354,1381,1551,1622,1786,1816,1900,1892,1900,1892
68,310,130,338,204,356,278,376,278,387,352,407,426,434,488,453,562,483,600,498,600,498
68,920,130,967,204,1002,278,1034,278,1050,352,1084,426,1120,488,1140,562,1182,600,1201,600,1201
97,19,185,179,290,238,395,388,395,409,500,513,605,671,693,780,798,881,850,896,850,896
97,87,185,183,290,258,395,347,395,379,500,477,605,581,693,682,798,756,850,788,850,788
137,97,261,182,409,338,557,572,557,678,705,707,853,872,977,977,1125,1222,1200,1222,1200,1222
137,72,261,202,409,334,557,514,557,602,705,666,853,882,977,1017,1125,1167,1200,1208,1200,1208
137,88,261,147,409,195,557,314,557,370,705,459,853,507,977,600,1125,706,1200,768,1200,768
79,89,150,165,236,230,322,314,322,345,408,404,479,499,565,551,651,661,700,697,700,697
79,83,150,158,236,243,322,307,322,346,408,406,479,496,565,563,651,643,700,673,700,673
79,84,150,167,236,248,322,291,322,331,408,409,479,496,565,567,651,640,700,692,700,692
79,71,150,149,236,236,322,319,322,366,408,428,479,507,565,595,651,692,700,715,700,715
353,374,672,703,1056,1044,1440,1367,1440,1520,1824,1785,2208,2345,2527,2612,2911,3007,3300,3086,3300,3086
353,451,672,787,1056,1154,1440,1501,1440,1722,1824,1975,2208,2290,2527,2625,2911,2999,3300,3188,3300,3188
353,310,672,713,1056,1044,1440,1516,1440,1743,1824,2041,2208,2345,2527,2941,2911,3353,3300,3473,3300,3086
353,319,672,653,1056,1154,1440,1585,1440,1816,1824,2184,2208,2290,2527,2867,2911,3294,3300,3481,3300,3188
136,134,259,310,407,466,555,577,555,602,703,687,851,852,974,948,1122,1066,1200,1083,1200,1083
136,118,259,239,407,366,555,526,555,584,703,706,851,849,974,950,1122,1047,1200,1081,1200,1081
136,105,259,242,407,369,555,487,555,584,703,600,851,781,974,950,1122,1024,1200,1042,1200,1042
171,234,326,382,511,529,696,707,696,732,881,862,1066,1065,1221,1230,1406,1389,1594,1514,1594,1559
171,189,326,366,511,528,696,670,696,704,881,796,1066,945,1221,1133,1406,1310,1594,1372,1594,1372
171,138,326,299,511,495,696,650,696,727,881,838,1066,1012,1221,1138,1406,1308,1594,1403,1594,1403
171,132,326,280,511,436,696,615,696,702,881,825,1066,1035,1221,1219,1406,1346,1594,1462,1594,1477
38,40,72,85,113,101,154,140,154,157,195,158,236,216,270,245,311,275,350,333,350,333
387,233,739,398,1158,571,1577,711,1577,744,1996,884,2415,1051,2767,1190,3186,1415,3400,1627,3400,1667
239,199,456,411,715,768,974,929,974,983,1233,1237,1492,1471,1709,1717,1968,1943,2100,2004,2100,2004
119,79,227,173,356,351,485,442,485,500,614,605,743,690,851,780,980,960,1050,960,1050,960
119,115,227,202,356,296,485,465,485,496,614,593,743,689,851,778,980,866,1050,931,1050,931
119,110,227,218,356,321,485,442,485,474,614,589,743,690,851,780,980,869,1050,953,1050,953
119,63,227,169,356,258,485,362,485,397,614,534,743,631,851,737,980,833,1050,911,1050,911
137,1219,261,1382,409,1509,557,1716,557,1727,705,1826,853,1997,977,2113,1125,2238,1200,2272,1200,2272
137,137,261,268,409,404,557,559,557,606,705,767,853,929,977,1053,1125,1223,1200,1322,1200,1322
115,85,219,202,343,331,467,457,467,471,591,585,715,719,819,811,943,950,1000,950,1000,950
115,87,219,150,343,403,467,497,467,502,591,607,715,680,819,914,943,1030,1000,1177,1000,1177
217,185,414,328,649,479,884,730,884,867,1119,1065,1354,1285,1551,1503,1786,1664,1900,1766,1900,1766
217,143,414,383,649,531,884,737,884,825,1119,1165,1354,1359,1551,1524,1786,1832,1900,1918,1900,1927
217,265,414,479,649,650,884,796,884,909,1119,1112,1354,1311,1551,1604,1786,1812,1900,1900,1900,1901
217,114,414,285,649,465,884,708,884,747,1119,947,1354,1117,1551,1366,1786,1597,1900,1826,1900,1826
80,48,152,174,239,208,326,347,326,355,413,424,500,475,572,661,659,752,750,767,750,767
80,50,152,124,239,194,326,312,326,341,413,382,500,452,572,500,659,591,750,646,750,646
387,1059,739,1166,1158,1319,1577,1364,1577,1431,1996,1614,2415,1785,2767,1958,3186,2110,3400,2257,3400,2264
