Target_1,Output_1,Target_2,Output_2,Target_3,Output_3,Target_4,Output_4,Target_5,Output_5,Target_6,Output_6,Target_7,Output_7,Target_8,Output_8,Target_9,Output_9,Target_10,Output_10,Target_11,Output_11
228,250,435,500,682,750,929,900,929,1000,1176,1200,1423,1490,1630,1749,1877,2000,2000,2200,2000,2300
247,300,469,543,737,733,1005,962,1005,1111,1273,1253,1541,1487,1763,1718,2031,1912,2300,2132,2300,2251
167,226,317,395,498,640,679,798,679,838,860,978,1041,1143,1191,1349,1372,1508,1550,1676,1550,1684
167,228,317,408,498,593,679,743,679,830,860,1019,1041,1172,1191,1363,1372,1559,1550,1650,1550,1650
167,148,317,302,498,490,679,640,679,694,860,883,1041,1037,1191,1201,1372,1366,1550,1513,1550,1560
183,243,349,410,547,505,745,682,745,708,943,871,1141,1120,1307,1285,1505,1509,1600,1694,1600,1733
183,189,349,351,547,523,745,718,745,733,943,946,1141,1137,1307,1333,1505,1505,1600,1650,1600,1670
183,145,349,270,547,375,745,481,745,492,943,619,1141,763,1307,880,1505,993,1600,1064,1600,1080
183,158,349,305,547,478,745,639,745,671,943,809,1141,982,1307,1161,1505,1325,1600,1466,1600,1532
149,91,284,235,445,352,606,470,606,521,767,617,928,735,1063,881,1224,991,1300,1082,1300,1160
149,67,284,195,445,278,606,437,606,463,767,576,928,704,1063,800,1224,872,1300,872,1300,980
68,34,130,78,204,122,278,174,278,184,352,227,426,265,488,300,562,345,600,398,600,399
239,173,456,344,715,477,974,645,974,679,1233,845,1492,998,1709,1132,1968,1259,2100,1379,2100,1444
239,207,456,377,715,586,974,820,974,904,1233,1137,1492,1360,1709,1565,1968,1731,2100,1845,2100,1884
239,198,456,387,715,553,974,755,974,830,1233,1029,1492,1244,1709,1385,1968,1573,2100,1705,2100,1785
239,487,456,562,715,674,974,786,974,804,1233,914,1492,1037,1709,1139,1968,1222,2100,1296,2100,1296
115,99,219,215,343,350,467,465,467,482,591,573,715,675,819,777,943,909,1000,1002,1000,1002
115,63,219,239,343,286,467,405,467,444,591,495,715,542,819,586,943,782,1000,834,1000,846
115,58,219,220,343,286,467,409,467,423,591,466,715,502,819,547,943,595,1000,599,1000,599
126,130,240,253,376,351,512,472,512,478,648,622,784,724,898,849,1034,949,1100,1110,1100,1110
126,101,240,223,376,357,512,482,512,504,648,654,784,737,898,876,1034,993,1100,1104,1100,1104
126,135,240,273,376,407,512,526,512,549,648,672,784,782,898,942,1034,1026,1100,1101,1100,1101
126,80,240,185,376,226,512,483,512,521,648,620,784,771,898,920,1034,1061,1100,1100,1100,1100
171,97,326,239,511,360,696,513,696,582,881,709,1066,837,1221,994,1406,1144,1500,1280,1500,1340
171,136,326,238,511,308,696,500,696,504,881,610,1066,711,1221,821,1406,1006,1500,1012,1500,1018
171,134,326,227,511,392,696,536,696,573,881,683,1066,820,1221,935,1406,1090,1500,1190,1500,1273
149,94,284,217,445,274,606,413,606,457,767,566,928,693,1063,814,1224,921,1300,1022,1300,1134
91,102,173,176,272,254,371,331,371,381,470,454,569,577,651,654,750,753,850,837,850,860
91,137,173,219,272,288,371,378,371,411,470,486,569,565,651,676,750,766,850,845,850,867
91,84,173,135,272,244,371,304,371,333,470,497,569,553,651,600,750,736,850,819,850,866
80,97,153,177,240,272,327,326,327,355,414,432,501,511,574,532,661,643,700,710,700,3745
74,53,141,92,221,148,301,203,301,225,381,247,461,321,528,370,608,404,650,476,650,494
74,83,141,140,221,208,301,280,301,299,381,361,461,408,528,485,608,550,650,594,650,606
149,94,284,252,445,346,606,582,606,647,767,779,928,915,1063,1033,1224,1177,1300,1314,1300,1363
228,261,435,450,682,723,929,976,929,995,1176,1082,1423,1388,1630,1612,1877,1825,2000,2159,2000,13
177,1559,337,1662,528,1785,719,1879,719,1899,910,2012,1101,2085,1261,2156,1452,2235,1550,2332,1550,2332
115,551,219,603,343,650,467,690,467,697,591,749,715,796,819,850,943,887,1000,920,1000,924
68,68,130,128,204,164,278,235,278,259,352,316,426,366,488,427,562,483,600,550,600,550
119,1256,227,1387,356,1475,485,1478,485,1482,614,1563,743,1663,851,1852,980,1913,1050,1956,1050,1956
74,37,141,103,221,180,301,245,301,264,381,336,461,405,528,480,608,502,650,555,650,555
177,267,337,412,528,543,719,718,719,720,910,917,1101,1046,1261,1168,1452,1314,1550,1401,1550,1401
