id_key,granularity,variable,count,mean,std,min,q1,median,q3,max,iqr,lower_bound,upper_bound,skewness,iqr_outlier_count,iqr_outlier_percent
subset_B_raw,raw,TE_8313B.AV_0#,86400,774.0630346064814,10.681691346551466,737.7,767.59,774.32,781.28,818.08,13.68999999999994,747.0550000000001,801.8149999999998,-0.23238823921725313,1247,1.443287037037037
subset_B_raw,raw,PT_8313C.AV_0#,86400,-153.33726608796294,51.30979962751282,-509.12,-184.92,-151.43,-119.12,126.28,65.79999999999998,-283.61999999999995,-20.42000000000003,-0.6558198934505137,1015,1.1747685185185186
subset_B_raw,raw,PTCA_8322A.AV_0#,86400,9.769467939814815,0.07504654984250161,9.42,9.73,9.77,9.82,10.09,0.08999999999999986,9.595,9.955,-0.5573007768356508,2600,3.009259259259259
subset_B_raw,raw,TE_8319A.AV_0#,86400,356.8813950231482,5.989422845718399,342.53,352.46,357.3,361.27,376.5,8.810000000000002,339.245,374.485,-0.03872923520266953,100,0.11574074074074074
subset_B_raw,raw,TE_8303.AV_0#,86400,210.83951875000002,4.947750509753673,198.64,207.35,211.22,213.98,226.38,6.6299999999999955,197.405,223.92499999999998,0.06487667027123692,508,0.5879629629629629
subset_B_raw,raw,ZZQBCHLL.AV_0#,86400,59.76190578703704,2.3788802606955373,50.66,58.4,59.85,61.37,70.87,2.969999999999999,53.945,65.82499999999999,-0.2874802206636173,1710,1.9791666666666667
subset_B_raw,raw,AIR_8301A.AV_0#,86400,2.087566435185185,0.3357858608369875,0.78,1.89,2.07,2.28,4.56,0.3899999999999999,1.3050000000000002,2.8649999999999998,0.5704954159213468,2970,3.4375
subset_B_raw,raw,YFJ3_AI.AV_0#,86400,22.76028761574074,0.9782261646251099,16.74,22.24,22.66,23.3,51.28,1.0600000000000023,20.649999999999995,24.890000000000004,1.9376999102974513,1951,2.2581018518518516
subset_B_raw,raw,SXLTCYZ.AV_0#,86400,-125.18683611111112,56.13161689369988,-468.54,-159.62,-122.77,-87.27,86.2,72.35000000000001,-268.145,21.25500000000001,-0.5835175989532403,1164,1.3472222222222223
subset_B_raw,raw,TE_8332A.AV_0#,86400,537.5211304398148,4.328548613810243,517.05,534.69,537.71,540.57,550.49,5.8799999999999955,525.8700000000001,549.3900000000001,-0.24688801348078365,441,0.5104166666666666
subset_B_raw,raw,FT_8301.AV_0#,86400,46462.8825087963,1698.9890466911688,40773.29,45286.34,46491.07,47610.84,53047.27,2324.5,41799.59,51097.59,0.058451186731799255,421,0.48726851851851855
subset_B_raw,raw,FT_8306A.AV_0#,86400,700.782583912037,23.64717712814684,262.49,679.05,708.56,721.47,754.38,42.42000000000007,615.4199999999998,785.1000000000001,-0.30710086972916006,2,0.0023148148148148147
subset_B_raw,raw,YFJ3_ZD2.AV_0#,86400,6.676142824074074,1.9051325336890321,2.35,5.33,6.35,7.68,24.96,2.3499999999999996,1.8050000000000006,11.204999999999998,1.2242464270085878,2175,2.517361111111111
subset_B_raw,raw,ZCLCCY.AV_0#,86400,10412.317245601851,507.33940743385597,8897.17,10074.2125,10431.55,10791.945,11819.51,717.7325000000001,8997.61375,11868.54375,-0.19097073285503047,26,0.03009259259259259
subset_B_30s,30s,TE_8313B.AV_0#,14400,774.0630346064816,10.67342310535531,738.1416666666668,767.5916666666667,774.3366666666667,781.2883333333333,817.875,13.696666666666601,747.0466666666669,801.8333333333333,-0.23316795259604053,204,1.4166666666666667
subset_B_30s,30s,PT_8313C.AV_0#,14400,-153.33726608796297,50.51579976619657,-490.6266666666667,-184.82083333333335,-151.415,-119.57333333333334,7.633333333333333,65.24750000000002,-282.69208333333336,-21.702083333333306,-0.6394455120362765,156,1.0833333333333333
subset_B_30s,30s,PTCA_8322A.AV_0#,14400,9.769467939814813,0.07491003814526383,9.42,9.73,9.773333333333333,9.82,10.083333333333334,0.08999999999999986,9.595,9.955,-0.5601576746327106,425,2.951388888888889
subset_B_30s,30s,TE_8319A.AV_0#,14400,356.8813950231481,5.989427202992948,342.565,352.46000000000004,357.305,361.2733333333333,376.4533333333334,8.813333333333276,339.2400000000001,374.4933333333332,-0.038750853868740096,16,0.1111111111111111
subset_B_30s,30s,TE_8303.AV_0#,14400,210.83951875000002,4.9477982799129885,198.66,207.3675,211.20666666666668,213.975,226.27166666666668,6.6074999999999875,197.45625,223.88624999999996,0.06486133709176789,85,0.5902777777777778
subset_B_30s,30s,ZZQBCHLL.AV_0#,14400,59.76190578703704,2.371712609481835,50.839999999999996,58.406666666666666,59.846666666666664,61.36333333333334,70.73333333333333,2.9566666666666706,53.971666666666664,65.79833333333335,-0.28796165716584066,292,2.0277777777777777
subset_B_30s,30s,AIR_8301A.AV_0#,14400,2.087566435185185,0.33444740301364767,0.8083333333333335,1.8883333333333334,2.06,2.27,4.4366666666666665,0.3816666666666666,1.3158333333333334,2.8425,0.5694357892620434,521,3.6180555555555554
subset_B_30s,30s,YFJ3_AI.AV_0#,14400,22.760287615740744,0.8604424267718187,20.113333333333333,22.245,22.655,23.30333333333333,28.363333333333333,1.05833333333333,20.657500000000006,24.890833333333326,0.43139521079899745,223,1.5486111111111112
subset_B_30s,30s,SXLTCYZ.AV_0#,14400,-125.1868361111111,55.2875498007905,-449.66,-159.11833333333334,-122.66166666666668,-87.63666666666666,46.97666666666667,71.48166666666668,-266.34083333333336,19.58583333333337,-0.5784883754717044,193,1.3402777777777777
subset_B_30s,30s,TE_8332A.AV_0#,14400,537.5211304398148,4.327563969409288,517.06,534.6991666666667,537.7016666666667,540.5783333333333,550.42,5.879166666666606,525.8804166666667,549.3970833333332,-0.24707142896894402,74,0.5138888888888888
subset_B_30s,30s,FT_8301.AV_0#,14400,46462.8825087963,1607.4527786318863,42248.683333333334,45320.08625,46510.58666666667,47566.46333333333,51793.43,2246.377083333333,41950.520625000005,50936.028958333336,0.0786605605870383,53,0.3680555555555556
subset_B_30s,30s,FT_8306A.AV_0#,14400,700.7825839120369,22.88618667033491,575.3383333333333,679.4383333333334,711.2525,721.1625,744.4833333333332,41.72416666666663,616.8520833333334,783.74875,-0.2606478977581375,1,0.006944444444444444
