date,TE_8313B.AV_0#,PT_8313C.AV_0#,PTCA_8322A.AV_0#,TE_8319A.AV_0#,TE_8303.AV_0#,ZZQBCHLL.AV_0#,AIR_8301A.AV_0#,YFJ3_AI.AV_0#,SXLTCYZ.AV_0#,TE_8332A.AV_0#,FT_8301.AV_0#,FT_8306A.AV_0#,YFJ3_ZD2.AV_0#,ZCLCCY.AV_0#,TV_8329ZC.AV_0#,YJJWSLL.AV_0#
2022-03-27 14:25:00,775.5585714285714,-157.11357142857145,9.707857142857142,352.50857142857143,210.85142857142858,60.471428571428575,1.7707142857142857,22.925714285714285,-137.7257142857143,538.2328571428571,47365.49285714286,717.3978571428571,7.505000000000001,10708.72,17.059285714285714,2.787142857142857
2022-03-27 14:30:00,782.0229999999999,-164.17216666666667,9.776333333333334,352.86566666666664,210.007,61.03933333333334,1.5123333333333333,23.264499999999998,-141.71866666666668,539.5026666666666,47450.1435,715.6775,5.934833333333333,10761.162333333334,17.34733333333333,2.779333333333333
2022-03-27 14:35:00,778.2541666666667,-208.46866666666668,9.8515,352.92199999999997,209.16133333333335,60.31766666666667,1.9298333333333335,22.340666666666667,-172.99066666666667,541.503,47377.7575,720.4026666666667,6.663833333333333,10731.065666666667,18.981833333333334,2.8333333333333335
2022-03-27 14:40:00,768.8303333333333,-157.98100000000002,9.752333333333333,351.4185,208.03183333333334,58.35733333333334,2.4611666666666663,22.23483333333333,-126.75466666666667,537.675,47577.16333333333,718.7808333333334,6.807833333333333,10750.308333333332,18.981,2.867
2022-03-27 14:45:00,763.0901666666667,-151.79283333333333,9.795166666666667,350.72016666666667,206.7025,57.716,2.422166666666667,22.00183333333333,-116.42133333333332,534.7403333333333,47871.86466666667,718.4698333333333,6.238166666666667,10714.197666666667,18.982333333333333,2.878
2022-03-27 14:50:00,758.819,-139.83616666666666,9.741166666666667,349.85633333333334,205.52633333333333,57.803,2.6155,21.976333333333333,-104.46466666666667,532.102,48085.21116666667,718.7914999999999,6.5625,10641.195,18.98033333333333,2.9026666666666667
2022-03-27 14:55:00,762.2905,-107.52533333333332,9.6775,349.32233333333335,204.52083333333334,58.42966666666666,2.2858333333333336,22.188333333333333,-73.94366666666666,529.8178333333333,48659.6965,718.5798333333333,6.333666666666667,10571.368666666667,18.98,2.8983333333333334
2022-03-27 15:00:00,769.7718333333333,-86.29233333333333,9.736833333333333,349.4646666666667,203.91366666666667,58.647666666666666,1.8586666666666667,22.184166666666666,-49.919,530.9643333333333,48881.69816666667,714.3691666666667,6.6525,10529.239,18.980166666666666,2.8786666666666667
2022-03-27 15:05:00,768.3071666666667,-109.44483333333332,9.719666666666665,349.1598333333333,203.61316666666667,59.678999999999995,1.9929999999999999,22.045166666666667,-77.26333333333334,532.3241666666667,48875.93916666667,718.7743333333333,6.524500000000001,10505.797666666667,18.9805,2.878333333333333
2022-03-27 15:10:00,771.6395,-140.07383333333334,9.744166666666667,348.98116666666664,203.30433333333335,58.088,1.7321666666666669,22.296,-153.43166666666667,532.632,48652.58383333333,715.461,6.488333333333333,10531.626,14.413333333333332,2.621666666666667
2022-03-27 15:15:00,773.321,-86.54833333333333,9.831999999999999,349.0561666666666,203.40133333333333,59.26433333333333,1.8356666666666668,22.008,-48.464333333333336,537.789,48419.31483333334,715.7253333333333,6.252666666666667,10523.478666666666,13.5,2.4956666666666667
2022-03-27 15:20:00,767.6873333333333,-94.4515,9.6985,348.65916666666664,203.5265,58.25533333333333,2.1425,21.920666666666666,-59.767,538.4911666666667,46925.981,719.2901666666668,5.6845,10403.312333333333,13.5,2.5559999999999996
2022-03-27 15:25:00,771.0528333333333,-119.73933333333333,9.727166666666667,348.58116666666666,203.82566666666665,58.477333333333334,1.4553333333333331,22.081666666666667,-79.84166666666667,538.4425,46932.02416666667,715.6376666666667,6.095833333333333,10427.034666666666,13.499833333333333,2.5603333333333333
2022-03-27 15:30:00,774.2053333333333,-192.073,9.788999999999998,348.1198333333333,204.14966666666666,58.727,1.3275000000000001,21.543833333333335,-158.54399999999998,540.0226666666666,46784.54633333334,718.1365000000001,6.636333333333334,10442.843666666666,15.776166666666667,2.65
2022-03-27 15:35:00,770.6221666666667,-206.99366666666668,9.783333333333333,347.3951666666666,203.94183333333334,59.528666666666666,1.7295,21.99566666666667,-214.087,538.2835,47292.47,719.153,5.8575,10545.602666666668,17.054333333333332,2.7396666666666665
2022-03-27 15:40:00,774.0125,-134.89433333333332,9.708499999999999,347.68766666666664,203.66683333333333,59.391666666666666,2.016,22.32766666666667,-103.59466666666667,535.9655,47583.01683333333,719.2294999999999,6.4075,10614.326666666666,17.057166666666667,2.7819999999999996
2022-03-27 15:45:00,771.9354999999999,-142.98066666666668,9.729000000000001,348.24033333333335,203.76016666666666,58.39233333333333,1.9986666666666666,22.333333333333332,-110.81266666666667,536.2883333333333,47194.121666666666,717.5998333333333,6.706833333333334,10622.108666666667,17.05483333333333,2.777
2022-03-27 15:50:00,770.1326666666666,-137.6755,9.784500000000001,348.5611666666667,204.15099999999998,59.044333333333334,2.2071666666666667,22.065,-108.24133333333334,537.3201666666666,46967.745,720.2176666666667,6.092166666666667,10673.662333333334,17.053166666666666,2.7333333333333334
2022-03-27 15:55:00,764.0136666666666,-135.13966666666667,9.616666666666667,348.1558333333333,204.47266666666667,58.562999999999995,2.2545,22.470666666666666,-131.2,534.6358333333334,46982.788166666665,720.086,6.768,10711.048,16.143333333333334,2.722
2022-03-27 16:00:00,773.6878333333333,-180.62550000000002,9.680833333333334,348.335,204.62316666666666,58.47166666666667,1.7798333333333334,22.779166666666665,-165.31866666666667,535.746,47590.2865,720.1231666666666,6.4544999999999995,10725.813333333334,14.019666666666666,2.5516666666666667
2022-03-27 16:05:00,771.3968333333333,-183.8965,9.799333333333333,348.816,204.94016666666667,59.175333333333334,1.9708333333333334,22.790666666666667,-176.936,540.1451666666667,47793.31133333334,718.8593333333333,6.363166666666667,10742.179333333333,17.156166666666664,2.703333333333333
2022-03-27 16:10:00,769.5068333333332,-170.26966666666667,9.845166666666668,349.1111666666667,205.25483333333332,58.660999999999994,2.207333333333333,22.265833333333333,-149.00666666666666,539.2056666666666,47791.234000000004,721.8431666666667,6.621166666666666,10743.350333333334,18.61433333333333,2.770666666666666
2022-03-27 16:15:00,762.1911666666667,-191.12283333333335,9.747833333333334,347.78433333333334,205.132,58.132666666666665,2.2198333333333333,21.846833333333333,-161.79566666666668,534.4186666666667,47916.42833333334,728.7401666666666,6.6498333333333335,10746.568,18.617666666666665,2.832333333333333
2022-03-27 16:20:00,758.5405,-170.60533333333333,9.689833333333333,346.27166666666665,204.29466666666667,56.947,1.9523333333333333,21.850166666666667,-124.38033333333333,529.9276666666667,47860.377,725.9531666666667,5.485166666666667,10731.681666666667,18.617,2.8703333333333334
2022-03-27 16:25:00,758.34,-137.23833333333332,9.726,345.83283333333327,203.43833333333333,57.114333333333335,1.8036666666666668,21.706500000000002,-98.66333333333334,528.6166666666667,47855.9395,722.063,6.779833333333333,10746.610333333334,18.615166666666667,2.8543333333333334
2022-03-27 16:30:00,761.9875,-94.45583333333335,9.697333333333335,345.6655,202.82216666666667,57.705000000000005,1.8225,22.111333333333334,-57.005,528.1171666666667,47793.72033333334,724.0373333333333,6.5895,10774.101666666666,17.383166666666668,2.795666666666667
2022-03-27 16:35:00,764.6088333333333,-82.9445,9.731666666666666,346.3073333333333,202.60399999999998,57.02433333333333,1.9943333333333333,22.228166666666667,-40.45333333333333,530.5941666666666,47772.57083333333,722.0451666666667,6.321,10805.916,14.220666666666666,2.576333333333333
2022-03-27 16:40:00,762.8506666666667,-115.78633333333333,9.767166666666666,346.8471666666667,202.804,57.23066666666667,2.1053333333333333,22.406833333333335,-86.56433333333332,534.9036666666667,47381.69216666666,721.4536666666667,7.019166666666666,10818.563,14.4105,2.6016666666666666
2022-03-27 16:45:00,763.6674999999999,-139.33950000000002,9.744333333333334,347.286,203.1375,58.02766666666666,2.1933333333333334,22.4885,-106.85866666666666,536.0883333333334,47169.51,722.1228333333333,6.828,10880.398,11.933666666666666,2.4283333333333332
2022-03-27 16:50:00,767.1163333333334,-96.60249999999999,9.687833333333334,347.7076666666666,203.52033333333333,59.254333333333335,1.9288333333333334,22.904166666666665,-63.892,537.6455,47469.34066666666,718.6873333333333,6.2171666666666665,11091.015333333335,11.188166666666666,2.3906666666666667
2022-03-27 16:55:00,775.4593333333333,-107.55166666666668,9.794166666666666,348.853,203.89,59.24166666666667,1.9283333333333335,23.164833333333334,-60.857,541.2731666666666,47739.80883333333,716.4803333333333,5.7325,11199.575,11.189833333333333,2.3346666666666662
2022-03-27 17:00:00,775.0531666666667,-126.25733333333332,9.853833333333334,349.79533333333336,204.44633333333334,60.30433333333334,2.145166666666667,23.147666666666666,-87.57933333333334,543.6843333333334,47873.34366666667,719.9254999999999,6.411666666666666,11228.907666666666,15.716833333333334,2.6046666666666667
2022-03-27 17:05:00,773.8986666666666,-133.96633333333332,9.835833333333333,350.2346666666666,205.05883333333335,60.29633333333333,2.3155,23.15983333333333,-100.988,540.5955,47877.937999999995,717.8018333333333,6.2331666666666665,11219.945,14.532666666666666,2.545
2022-03-27 17:10:00,771.7661666666667,-134.991,9.7755,350.3575,205.42333333333332,60.072,2.4718333333333335,23.171,-108.23066666666666,538.4731666666667,48343.845166666666,717.6366666666667,6.169333333333333,11160.968333333332,14.505666666666665,2.5716666666666668
2022-03-27 17:15:00,770.7288333333333,-100.61566666666666,9.7275,350.446,205.54800000000003,59.547000000000004,2.4508333333333336,23.178166666666666,-66.11133333333333,537.5078333333333,48541.55133333334,716.4615,6.688166666666667,11153.358,11.629833333333334,2.4123333333333337
2022-03-27 17:20:00,772.5198333333334,-80.48883333333333,9.736500000000001,350.6451666666666,205.56533333333334,59.46133333333333,2.3641666666666667,23.196666666666665,-46.764,538.7308333333333,48762.19816666667,712.23,5.907166666666667,11154.475999999999,11.629166666666666,2.4040000000000004
2022-03-27 17:25:00,772.2611666666667,-69.66550000000001,9.796,351.01266666666663,205.5175,58.94733333333333,2.442833333333333,23.2115,-37.306666666666665,540.1625,49444.00266666667,710.188,6.1594999999999995,11100.863333333335,11.629666666666669,2.3886666666666665
2022-03-27 17:30:00,767.6833333333333,-172.53316666666666,9.860833333333334,351.24399999999997,205.39116666666666,58.451,2.2885,22.8675,-143.36366666666666,540.7305,48440.49566666667,714.5518333333333,6.2909999999999995,10865.950666666668,11.629166666666666,2.3526666666666665
2022-03-27 17:35:00,761.4895,-201.29316666666668,9.757333333333332,350.21733333333333,205.05366666666666,59.50633333333334,2.106333333333333,22.4665,-182.21466666666666,538.6001666666667,48540.228833333334,715.9245,6.453166666666666,10806.761,11.463166666666668,2.384
2022-03-27 17:40:00,763.712,-165.81483333333333,9.595,349.11966666666666,204.2686666666667,58.815666666666665,1.9839999999999998,22.492666666666665,-142.17833333333334,535.7425,48912.66583333334,720.7139999999999,6.8389999999999995,10727.660333333333,9.63,2.3473333333333333
2022-03-27 17:45:00,766.638,-107.44983333333333,9.635333333333334,348.63716666666664,203.4415,57.678666666666665,1.8376666666666668,22.773333333333333,-72.10666666666665,537.1538333333333,49152.73133333333,715.809,6.737,10713.421666666667,8.809166666666668,2.2656666666666667
2022-03-27 17:50:00,774.6695,-118.05866666666665,9.784166666666666,349.2785,203.08083333333335,58.839000000000006,1.8575000000000002,23.177500000000002,-86.36266666666667,541.376,49297.0925,715.931,6.207333333333334,10664.215999999999,7.1098333333333334,2.098666666666667
2022-03-27 17:55:00,772.3056666666666,-164.9145,9.858333333333333,350.19483333333335,203.40633333333332,59.398,2.3388333333333335,23.131333333333334,-129.32266666666666,545.4733333333334,48166.87983333333,714.3298333333333,6.644666666666667,10390.973,10.541666666666666,2.2843333333333335
2022-03-27 18:00:00,762.2511666666667,-188.07133333333334,9.663833333333335,349.93283333333335,204.02266666666668,58.91766666666667,2.1016666666666666,22.478,-158.18266666666668,541.49,48951.37666666667,723.9925000000001,6.373333333333333,10138.8,10.66,2.376
2022-03-27 18:05:00,772.7265,-151.34949999999998,9.569333333333333,349.9053333333333,204.24716666666666,60.27966666666667,1.4906666666666666,23.583000000000002,-119.289,538.0101666666667,49127.11383333334,717.5691666666667,6.258,10150.676666666666,10.66,2.4253333333333336
2022-03-27 18:10:00,781.1273333333334,-132.3235,9.744,351.98133333333334,204.68366666666668,59.82166666666667,1.6718333333333333,23.624833333333335,-99.39233333333333,542.2475,49308.234333333334,716.4988333333333,6.494,10048.455666666667,10.66,2.3646666666666665
2022-03-27 18:15:00,768.9333333333333,-230.57266666666666,9.83,352.407,205.56466666666665,58.163,2.3245,22.439666666666668,-200.52466666666666,545.5295,48346.9925,725.9185,6.6178333333333335,9637.813333333334,14.223,2.5036666666666667
2022-03-27 18:20:00,758.213,-225.6045,9.662666666666667,350.82533333333333,205.9478333333333,58.01933333333333,2.5015,22.42233333333333,-204.932,539.4825,47511.82833333334,723.1961666666666,6.449166666666667,9542.331,13.140000000000002,2.517
2022-03-27 18:25:00,755.4338333333333,-202.04216666666667,9.493500000000001,349.6728333333333,205.71933333333334,57.32533333333333,2.1981666666666664,22.557000000000002,-179.881,535.2191666666666,46646.00983333333,723.7616666666667,6.8245000000000005,9481.735333333334,9.107666666666665,2.322666666666666
2022-03-27 18:30:00,768.5048333333333,-114.369,9.657333333333334,349.906,205.29166666666666,57.18066666666667,2.2266666666666666,23.16283333333333,-88.153,539.3776666666666,47883.22549999999,720.7423333333334,6.0595,9832.105000000001,9.107333333333333,2.271666666666667
2022-03-27 18:35:00,770.245,-98.24766666666666,9.822333333333335,350.67466666666667,204.942,57.87533333333333,2.1108333333333333,22.54283333333333,-69.023,544.3473333333334,47638.280999999995,721.5086666666666,6.522,9786.889666666666,12.9955,2.442333333333333
2022-03-27 18:40:00,772.51,-118.77433333333333,9.863666666666667,350.41299999999995,204.52533333333335,59.18866666666667,2.008,22.524833333333333,-91.866,542.3193333333334,47632.836833333335,725.8326666666667,6.7108333333333325,9611.453000000001,15.049833333333334,2.55
2022-03-27 18:45:00,768.1034999999999,-145.42983333333333,9.734,349.8913333333333,204.2893333333333,59.077666666666666,2.0521666666666665,22.487000000000002,-121.68233333333335,538.0256666666667,46784.8945,725.1985000000001,6.6178333333333335,9447.119999999999,12.277166666666666,2.455
2022-03-27 18:50:00,769.7538333333334,-169.79466666666667,9.574,349.39099999999996,204.24016666666665,58.69133333333333,1.9293333333333331,22.526833333333332,-135.59233333333333,537.592,47047.05383333333,724.6425,6.623166666666666,9462.676333333333,9.100833333333332,2.308
2022-03-27 18:55:00,773.4595,-190.1885,9.556666666666667,349.41799999999995,204.2025,58.75933333333333,1.8718333333333335,22.641333333333332,-169.299,541.5681666666667,46842.80133333334,725.422,6.6706666666666665,9441.696666666667,9.1,2.3059999999999996
2022-03-27 19:00:00,778.222,-128.41649999999998,9.681000000000001,350.15,204.58816666666664,58.89566666666666,1.8561666666666667,22.6785,-99.673,545.4456666666667,47060.7435,722.2761666666667,6.548166666666666,9512.163999999999,12.0445,2.451
2022-03-27 19:05:00,778.909,-157.48533333333336,9.835666666666667,350.8528333333333,205.27716666666666,59.84666666666667,1.8403333333333334,22.678166666666666,-143.48733333333334,545.9676666666667,46926.799,721.7734999999999,7.102166666666666,9540.907333333334,14.01,2.5216666666666665
2022-03-27 19:10:00,779.7658333333333,-157.79483333333334,9.828833333333334,351.19599999999997,205.95666666666665,61.223333333333336,1.7933333333333334,22.658833333333334,-142.278,543.8118333333333,46862.53483333333,722.1221666666667,6.591166666666666,9541.54,14.01,2.5073333333333334
2022-03-27 19:15:00,778.1161666666667,-152.80333333333334,9.739,351.40166666666664,206.50966666666667,61.269999999999996,1.8203333333333334,22.991833333333332,-146.078,542.2621666666666,46617.149333333335,721.2316666666667,6.041333333333333,9561.479666666668,17.776833333333332,2.74
2022-03-27 19:20:00,780.8878333333333,-116.24766666666666,9.735333333333333,351.9448333333333,207.0875,60.48133333333333,1.9565,23.011000000000003,-95.83200000000001,540.1673333333333,46580.70516666667,719.6058333333333,6.848666666666667,9583.348999999998,19.492166666666666,2.856333333333333
2022-03-27 19:25:00,780.534,-148.86116666666666,9.854333333333333,352.4036666666667,207.74633333333335,60.15433333333333,1.9460000000000002,22.828166666666668,-141.88333333333333,539.608,46510.429333333326,716.4718333333333,6.141333333333334,9610.712,19.4915,2.817
2022-03-27 19:30:00,776.4906666666667,-94.05016666666667,9.819166666666666,352.20683333333335,208.22716666666665,60.516,2.3505,22.282500000000002,-70.07866666666668,538.7295,46532.64683333333,719.9341666666667,6.575666666666667,9638.718333333332,17.3205,2.705
2022-03-27 19:35:00,772.8095,-201.70783333333333,9.663666666666668,351.361,208.10966666666667,59.86333333333334,2.1736666666666666,23.264499999999998,-153.63866666666667,536.7096666666667,46732.17883333333,722.4876666666667,6.720666666666667,9505.527333333333,11.961666666666668,2.4483333333333333
2022-03-27 19:40:00,777.3263333333333,-246.8671666666667,9.712666666666667,353.4771666666667,208.53066666666666,60.099000000000004,2.082666666666667,23.755333333333333,-215.52766666666668,541.2663333333334,46902.72383333334,718.7215,6.430499999999999,9491.804,14.016333333333334,2.548
2022-03-27 19:45:00,780.7255,-140.90833333333333,9.814666666666666,354.57916666666665,209.762,61.07033333333334,2.004166666666667,23.25583333333333,-103.52233333333334,543.9635000000001,46674.490666666665,718.2191666666666,6.178166666666667,9580.902333333333,19.341333333333335,2.8363333333333336
2022-03-27 19:50:00,774.2853333333334,-138.76216666666667,9.850333333333333,352.53183333333334,209.939,59.21066666666666,2.6184999999999996,22.1825,-102.627,541.8481666666667,46231.58933333333,721.9968333333333,6.570166666666666,9632.493333333334,19.285833333333336,2.8583333333333334
2022-03-27 19:55:00,765.9105,-132.20683333333332,9.809166666666666,349.36283333333336,208.37733333333333,58.619,2.1325,22.11116666666667,-95.361,537.6186666666666,46586.59016666667,723.0386666666667,5.990833333333333,9573.713666666667,14.53,2.567333333333333
