date,TE_8313B.AV_0#,PT_8313C.AV_0#,PTCA_8322A.AV_0#,TE_8319A.AV_0#,TE_8303.AV_0#,ZZQBCHLL.AV_0#,AIR_8301A.AV_0#,YFJ3_AI.AV_0#,SXLTCYZ.AV_0#,TE_8332A.AV_0#,FT_8301.AV_0#,FT_8306A.AV_0#,YFJ3_ZD2.AV_0#,ZCLCCY.AV_0#
2022-03-27 14:28:30,774.11,-150.005,9.7,352.5,211.03500000000003,60.89,1.81,22.785,-129.15,538.29,47202.965,719.925,7.765000000000001,10667.39
2022-03-27 14:29:00,774.9050000000001,-153.02666666666667,9.705,352.51,210.90333333333334,60.60666666666666,1.82,22.766666666666666,-132.82000000000002,538.2416666666667,47347.105,717.7666666666668,7.551666666666667,10713.943333333335
2022-03-27 14:29:30,776.695,-163.57000000000002,9.713333333333333,352.51,210.73833333333334,60.196666666666665,1.7083333333333333,23.131666666666664,-145.49,538.205,47438.056666666664,716.1866666666666,7.371666666666666,10717.273333333333
2022-03-27 14:30:00,777.4183333333334,-156.57833333333335,9.72,352.55833333333334,210.56833333333336,60.656666666666666,1.625,23.125,-139.58666666666667,538.2916666666666,47515.16333333333,719.9699999999999,5.17,10823.32
2022-03-27 14:30:30,779.9466666666667,-154.73166666666665,9.728333333333333,352.58166666666665,210.42333333333332,61.14666666666667,1.5200000000000002,23.13,-136.65,538.4499999999999,47330.738333333335,711.5866666666666,6.288333333333333,10787.38
2022-03-27 14:31:00,781.0033333333334,-162.60833333333332,9.736666666666666,352.66,210.285,60.71333333333333,1.45,23.595,-139.47333333333333,538.6183333333333,47994.16333333333,715.1966666666667,6.1816666666666675,10809.08
2022-03-27 14:31:30,782.8149999999999,-156.01833333333335,9.758333333333333,352.695,210.15,60.36333333333334,1.4483333333333333,23.436666666666667,-149.85333333333332,538.8816666666667,47395.25833333333,716.4699999999999,6.233333333333333,10742.213333333333
2022-03-27 14:32:00,783.285,-157.06666666666666,9.776666666666666,352.76500000000004,210.01166666666666,60.95333333333334,1.51,23.44666666666667,-134.88666666666666,539.2066666666666,47277.238333333335,716.4716666666667,6.5633333333333335,10722.953333333333
2022-03-27 14:32:30,784.0166666666668,-151.38833333333335,9.784999999999998,352.9083333333333,209.90166666666664,61.57,1.5216666666666667,23.458333333333332,-132.53666666666666,539.635,47261.18833333333,714.5300000000001,4.968333333333333,10713.1
2022-03-27 14:33:00,784.165,-169.05666666666667,9.791666666666666,353.01833333333326,209.8166666666667,61.663333333333334,1.5216666666666667,23.106666666666666,-136.01,539.9983333333333,47732.63333333333,717.3683333333333,6.015000000000001,10733.856666666667
2022-03-27 14:33:30,782.7083333333334,-177.36333333333334,9.808333333333334,353.09,209.71666666666667,61.053333333333335,1.515,23.123333333333335,-152.45666666666668,540.335,47320.04,713.7216666666667,6.658333333333334,10777.733333333334
2022-03-27 14:34:00,782.1683333333334,-178.34333333333333,9.823333333333332,353.16166666666663,209.64000000000001,60.93666666666667,1.5,23.111666666666665,-146.94333333333336,540.6516666666668,47042.458333333336,716.61,5.363333333333333,10788.293333333333
2022-03-27 14:34:30,782.7033333333334,-178.5666666666667,9.834999999999999,353.2183333333333,209.5566666666667,61.336666666666666,1.5116666666666667,23.111666666666665,-148.79,540.9583333333334,47632.55333333334,714.85,5.906666666666666,10713.693333333335
2022-03-27 14:35:00,783.8833333333333,-173.04,9.861666666666666,353.23499999999996,209.48333333333335,60.80666666666667,1.5,22.83666666666667,-136.42666666666668,541.3083333333333,47238.21166666667,722.0733333333334,6.456666666666667,10778.336666666666
2022-03-27 14:35:30,783.4866666666667,-197.0583333333333,9.87,353.2483333333333,209.42,60.71333333333333,1.5666666666666667,22.775000000000002,-152.85,541.615,47816.03166666667,725.81,6.263333333333333,10813.866666666667
2022-03-27 14:36:00,782.3483333333334,-206.1783333333333,9.876666666666667,353.2383333333333,209.35833333333332,60.45666666666667,1.66,22.771666666666665,-159.31,541.8416666666667,47213.34833333333,715.7766666666666,6.045000000000001,10694.86
2022-03-27 14:36:30,780.6833333333334,-208.30499999999998,9.88,353.20666666666665,209.3083333333333,60.53333333333333,1.7466666666666668,22.59166666666667,-163.67333333333332,541.975,47263.388333333336,720.0283333333333,6.1000000000000005,10757.550000000001
2022-03-27 14:37:00,778.7199999999999,-217.39499999999998,9.876666666666667,353.115,209.215,60.61333333333334,1.8550000000000002,22.346666666666668,-180.99333333333334,542.07,47424.21,718.0283333333333,7.333333333333333,10764.506666666666
2022-03-27 14:37:30,776.9900000000001,-237.01999999999998,9.865,353.02,209.14833333333334,60.52,1.9466666666666665,22.121666666666666,-196.12333333333333,541.9566666666666,47509.49833333333,721.2166666666667,6.54,10665.17
2022-03-27 14:38:00,776.5716666666667,-242.93666666666664,9.848333333333333,352.8416666666667,209.07000000000002,60.21,2.095,22.084999999999997,-208.15666666666667,541.7066666666666,47241.35833333334,718.0416666666666,8.549999999999999,10681.873333333335
2022-03-27 14:38:30,775.1466666666666,-207.73000000000002,9.831666666666667,352.6566666666667,208.98000000000002,59.836666666666666,2.2133333333333334,21.939999999999998,-185.2733333333333,541.3466666666667,47609.579999999994,718.82,7.003333333333334,10726.699999999999
2022-03-27 14:39:00,772.5283333333333,-200.9316666666667,9.808333333333334,352.4316666666667,208.87,60.02,2.31,21.911666666666665,-172.26333333333332,540.865,47119.25,723.44,6.348333333333333,10705.833333333334
2022-03-27 14:39:30,772.1833333333334,-194.09166666666667,9.796666666666667,352.2266666666667,208.76,59.46666666666667,2.405,22.026666666666667,-174.83666666666667,540.345,47342.698333333334,720.7916666666666,5.998333333333334,10721.96
2022-03-27 14:40:00,772.1183333333333,-172.72166666666666,9.784999999999998,352.01666666666665,208.64333333333335,59.49666666666667,2.4183333333333334,22.208333333333332,-144.23333333333332,539.79,47573.700000000004,719.0883333333333,6.928333333333334,10749.156666666668
2022-03-27 14:40:30,771.9416666666666,-170.54999999999998,9.763333333333334,351.8383333333333,208.51333333333332,59.60333333333333,2.4566666666666666,22.25,-143.92,539.29,47808.48166666667,722.3483333333334,7.135000000000001,10838.566666666666
2022-03-27 14:41:00,770.9816666666667,-169.57333333333335,9.743333333333334,351.695,208.39166666666665,59.879999999999995,2.4466666666666668,22.228333333333335,-136.59333333333333,538.76,47694.55333333334,723.0633333333334,6.618333333333333,10764.4
2022-03-27 14:41:30,768.3116666666666,-169.82500000000002,9.736666666666666,351.60666666666674,208.25333333333333,58.669999999999995,2.525,22.228333333333335,-137.29333333333332,538.2216666666667,47398.405,722.1783333333333,8.271666666666667,10736.343333333332
2022-03-27 14:42:00,767.2950000000001,-169.51666666666668,9.733333333333334,351.46000000000004,208.10833333333335,58.24,2.486666666666667,22.206666666666667,-138.77666666666667,537.715,47736.72666666666,722.8583333333332,6.3133333333333335,10753.016666666666
2022-03-27 14:42:30,766.8083333333334,-156.565,9.731666666666667,351.31666666666666,207.965,57.85,2.565,22.245,-126.04666666666667,537.285,47378.57666666666,718.0749999999999,6.7316666666666665,10848.863333333333
2022-03-27 14:43:00,767.035,-144.38,9.746666666666668,351.2083333333333,207.82333333333335,57.5,2.518333333333333,22.26,-117.67999999999999,536.9016666666666,47413.823333333334,718.165,5.411666666666666,10690.173333333334
2022-03-27 14:43:30,767.7333333333332,-142.255,9.75,351.1033333333333,207.68500000000003,58.1,2.4183333333333334,22.243333333333336,-102.96999999999998,536.57,47610.208333333336,714.4066666666666,6.633333333333333,10764.333333333334
2022-03-27 14:44:00,768.9533333333334,-143.73666666666668,9.756666666666666,351.0216666666667,207.525,57.446666666666665,2.3816666666666664,22.235,-106.71333333333332,536.2433333333333,47387.073333333334,716.525,7.46,10644.096666666666
2022-03-27 14:44:30,767.125,-140.68666666666667,9.776666666666666,350.91833333333335,207.41,56.78666666666667,2.395,22.243333333333336,-113.32000000000001,535.9733333333334,47770.085,711.1,6.575,10714.133333333333
2022-03-27 14:45:00,766.355,-142.94166666666666,9.79,350.945,207.24166666666667,57.416666666666664,2.328333333333333,22.243333333333336,-111.64,535.7316666666667,47598.24833333333,718.7933333333334,6.298333333333333,10676.38
2022-03-27 14:45:30,766.4233333333333,-147.72333333333333,9.79,350.95666666666665,207.13,57.949999999999996,2.3266666666666667,22.246666666666666,-113.54333333333334,535.5416666666666,48081.97,717.2083333333334,5.825,10742.856666666667
2022-03-27 14:46:00,767.4683333333334,-139.41333333333333,9.8,350.9066666666667,207.00833333333333,57.42666666666667,2.2983333333333333,22.256666666666664,-104.98333333333333,535.3216666666667,47481.174999999996,725.5283333333333,6.8133333333333335,10750.92
2022-03-27 14:46:30,767.0600000000001,-138.84333333333333,9.81,350.90000000000003,206.88333333333333,57.669999999999995,2.24,21.59166666666667,-94.82333333333334,535.1366666666667,47867.96333333334,722.7683333333333,6.823333333333333,10742.636666666667
2022-03-27 14:47:00,765.185,-156.64666666666668,9.801666666666668,350.82666666666665,206.74833333333333,58.18333333333334,2.3649999999999998,21.94333333333333,-121.85000000000001,534.9216666666667,48116.27333333334,719.645,6.666666666666667,10742.913333333334
2022-03-27 14:47:30,763.0450000000001,-155.71,9.806666666666667,350.72166666666664,206.63833333333332,57.11666666666667,2.4283333333333332,21.948333333333334,-124.59666666666668,534.6933333333333,48062.145,719.32,6.578333333333333,10652.803333333333
2022-03-27 14:48:00,762.3233333333334,-168.74666666666667,9.806666666666667,350.6233333333334,206.51500000000001,57.42666666666667,2.5016666666666665,21.958333333333332,-122.04333333333334,534.4116666666667,48210.06,714.8466666666667,6.321666666666666,10751.753333333334
