id_key,granularity,variable,count,mean,std,min,q1,median,q3,max,iqr,lower_bound,upper_bound,skewness,iqr_outlier_count,iqr_outlier_percent,target,transform,window,window_steps
subset_B_raw,raw,TE_8313B.AV_0#,86400,774.0630346064814,10.681691346551466,737.7,767.59,774.32,781.28,818.08,13.68999999999994,747.0550000000001,801.8149999999998,-0.23238823921725313,1247,1.443287037037037,TE_8313B.AV_0#,original,none,1
subset_B_raw,raw,TE_8313B.AV_0#,86389,774.0631438319693,10.654683421570029,738.5091666666667,767.6083333333335,774.3366666666667,781.2675,817.8891666666667,13.659166666666579,747.1195833333336,801.7562499999999,-0.2347992594581003,1221,1.4133743879429095,TE_8313B.AV_0#,trailing_rolling_mean,1min,12
subset_B_raw,raw,TE_8313B.AV_0#,86341,774.0620165989121,10.445730723297329,739.2755,767.7516666666667,774.2495,781.2196666666666,815.6681666666666,13.467999999999961,747.5496666666668,801.4216666666666,-0.24768653165511956,1187,1.3747813900696078,TE_8313B.AV_0#,trailing_rolling_mean,5min,60
subset_B_raw,raw,TE_8313B.AV_0#,86399,-2.6736420560423837e-05,0.2732205123091537,-1.1399999999999864,-0.17000000000007276,0.0,0.17000000000007276,1.2999999999999545,0.3400000000001455,-0.680000000000291,0.680000000000291,0.03859649943443079,1273,1.4733966828319771,TE_8313B.AV_0#,first_difference,none,1
subset_B_30s,30s,TE_8313B.AV_0#,14401,774.0629775710021,10.673021610210487,738.3483333333334,767.6016666666666,774.335,781.2866666666667,818.0066666666667,13.685000000000173,747.0741666666663,801.814166666667,-0.23319855744404328,208,1.4443441427678634,TE_8313B.AV_0#,original,none,1
subset_B_30s,30s,TE_8313B.AV_0#,14400,774.0630647569444,10.65433316279166,738.5283333333334,767.6158333333333,774.3295833333334,781.27,817.8891666666666,13.654166666666697,747.1345833333332,801.75125,-0.23482322653916574,205,1.4236111111111112,TE_8313B.AV_0#,trailing_rolling_mean,1min,2
subset_B_30s,30s,TE_8313B.AV_0#,14392,774.062375660089,10.445494646099418,739.2755,767.7290833333333,774.2479166666667,781.2037916666667,815.6456666666667,13.47470833333341,747.5170208333332,801.4158541666668,-0.24781195307611065,197,1.36881600889383,TE_8313B.AV_0#,trailing_rolling_mean,5min,10
subset_B_30s,30s,TE_8313B.AV_0#,14400,-0.00018090277777777904,1.2747690696803116,-5.186666666666611,-0.8300000000000409,-0.006666666666831134,0.8483333333331586,5.408333333333303,1.6783333333331996,-3.3474999999998403,3.365833333332958,0.014839155053702832,153,1.0625,TE_8313B.AV_0#,first_difference,none,1
subset_B_1min,1min,TE_8313B.AV_0#,7201,774.062989191316,10.65413202261903,738.6591666666667,767.6191666666667,774.3133333333334,781.2991666666667,817.8891666666667,13.67999999999995,747.0991666666669,801.8191666666667,-0.23474675513726478,103,1.4303568948757117,TE_8313B.AV_0#,original,none,1
subset_B_1min,1min,TE_8313B.AV_0#,7197,774.0627987865314,10.445322410994338,739.2755,767.7521666666667,774.2568333333332,781.1923333333334,815.5778333333333,13.440166666666755,747.5919166666665,801.3525833333335,-0.24793192258977842,97,1.3477837988050576,TE_8313B.AV_0#,trailing_rolling_mean,5min,5
subset_B_1min,1min,TE_8313B.AV_0#,7200,-0.0003116666666666706,2.013985189562186,-8.674999999999955,-1.3343750000000512,0.021666666666703804,1.3177083333332575,8.580833333333203,2.6520833333333087,-5.312500000000014,5.295833333333221,-0.0198962623463609,101,1.4027777777777777,TE_8313B.AV_0#,first_difference,none,1
subset_B_5min,5min,TE_8313B.AV_0#,1441,774.0635788143153,10.446119558928077,739.2755,767.7521666666667,774.2853333333334,781.1828333333334,815.3283333333333,13.430666666666752,747.6061666666665,801.3288333333335,-0.24676334439032446,20,1.3879250520471895,TE_8313B.AV_0#,original,none,1
subset_B_5min,5min,TE_8313B.AV_0#,1440,-0.0021170634920635065,4.952031370045791,-22.119333333333316,-3.054166666666731,-0.19958333333329392,2.989458333333289,20.31700000000012,6.04362500000002,-12.119604166666761,12.054895833333319,-0.025542212966853148,28,1.9444444444444444,TE_8313B.AV_0#,first_difference,none,1
