model_key,model_label,status,granularity_count,report_path
univariate_arima,Univariate ARIMA,evaluated,2,models/univariate_arima.md
univariate_mlp_target_lags,Univariate MLP Target Lags,evaluated,2,models/univariate_mlp_target_lags.md
