model_key,model_label,split,granularity,mae,rmse,mape,smape,bias,r2,configuration,mae_rank
univariate_mlp_target_lags,Univariate MLP Target Lags,test,1min,1.5099948251145296,1.8961704171014966,0.19405597380858788,0.19403916115125847,0.05272992757597738,0.9599146312819914,first_difference | smooth=none | lr=0.01,1.0
univariate_mlp_target_lags,Univariate MLP Target Lags,test,1min,1.51233862778873,1.8982349833674121,0.194370101674937,0.19435762454697555,0.025860491762001735,0.959827293188793,first_difference | smooth=none | lr=0.0001,2.0
univariate_mlp_target_lags,Univariate MLP Target Lags,test,1min,1.5153420030046933,1.897505477773193,0.19475595969349124,0.1947456694515307,0.021550097186157913,0.9598581645859742,first_difference | smooth=none | lr=0.001,3.0
univariate_mlp_target_lags,Univariate MLP Target Lags,test,1min,1.515541446427918,1.9069701589624588,0.19469323401596023,0.19471649985750897,-0.11325696853602098,0.9594335859289066,level | smooth=none | lr=0.01,4.0
univariate_mlp_target_lags,Univariate MLP Target Lags,test,1min,1.5169570892974191,1.9082642487372339,0.19488302039821737,0.19489015939977491,-0.04650828143210927,0.9593785096669474,level | smooth=none | lr=0.005,5.0
univariate_mlp_target_lags,Univariate MLP Target Lags,test,1min,1.5188599469378257,1.9151611414328653,0.19511321335734952,0.19512768194823266,-0.074162713182,0.959084348788294,level | smooth=none | lr=0.001,6.0
univariate_mlp_target_lags,Univariate MLP Target Lags,test,1min,1.5241414652017482,1.9132825042105592,0.19587947889053606,0.19586489266343118,0.04101058271740823,0.9591878616995442,first_difference | smooth=none | lr=0.005,7.0
univariate_mlp_target_lags,Univariate MLP Target Lags,test,1min,1.5397089747004271,1.929858665187791,0.19781173345547767,0.1978270839746965,-0.0786130723931014,0.9584539409894607,level | smooth=none | lr=0.0001,8.0
univariate_mlp_target_lags,Univariate MLP Target Lags,test,1min,1.5725804571405142,1.972618348087759,0.20202427620667837,0.20204236172449208,-0.06715557847100787,0.9565924812195906,level | smooth=2min | lr=0.0001,9.0
univariate_mlp_target_lags,Univariate MLP Target Lags,test,1min,1.6131282606124702,2.029491459231141,0.20731054651776723,0.2073084980275061,-0.000550347211829058,0.9541068219598497,second_difference | smooth=none | lr=0.0001,10.0
univariate_mlp_target_lags,Univariate MLP Target Lags,test,1min,1.6165180296376132,2.0465625413074253,0.20774104097957968,0.2077321829325602,0.02588165189010084,0.9533315132614947,second_difference | smooth=none | lr=0.001,11.0
univariate_mlp_target_lags,Univariate MLP Target Lags,test,1min,1.6271231054759778,2.054089707245743,0.20910941796810362,0.20910877958456248,-0.018029196641337553,0.9529875927260355,second_difference | smooth=none | lr=0.01,12.0
univariate_mlp_target_lags,Univariate MLP Target Lags,test,1min,1.6346701308872975,2.0432767955289886,0.210080918754535,0.21008446029813513,-0.02273045302330225,0.953481245005597,second_difference | smooth=none | lr=0.005,13.0
univariate_mlp_target_lags,Univariate MLP Target Lags,test,1min,2.2365221615949156,2.8385839405888063,0.2876042184058269,0.28761558244432617,-0.022461198144303324,0.9101160172078862,level | smooth=2min | lr=0.001,14.0
univariate_mlp_target_lags,Univariate MLP Target Lags,test,1min,2.5328641809850305,3.1970089703517433,0.3257198593331748,0.3257491382173701,-0.03160635596499826,0.8859838072663441,level | smooth=2min | lr=0.005,15.0
univariate_mlp_target_lags,Univariate MLP Target Lags,test,1min,2.5478402620328886,3.2024614480993137,0.3277210323176725,0.327780713078961,-0.08885818616604721,0.8855945678946678,level | smooth=2min | lr=0.01,16.0
univariate_mlp_target_lags,Univariate MLP Target Lags,test,1min,2.635341543089299,3.2822097136514956,0.33899292774755735,0.3391397681444193,-0.18528392090571802,0.879894249256439,first_difference | smooth=2min | lr=0.0001,17.0
univariate_mlp_target_lags,Univariate MLP Target Lags,test,1min,2.66904180213647,3.337944320586139,0.34332057308658437,0.3435383880022516,-0.36255318444806484,0.8757806291080106,first_difference | smooth=2min | lr=0.005,18.0
univariate_mlp_target_lags,Univariate MLP Target Lags,test,1min,2.691070121786773,3.3520690770146326,0.34616948093046795,0.34626787566936795,-0.09636535349587656,0.8747271180358759,first_difference | smooth=2min | lr=0.001,19.0
univariate_mlp_target_lags,Univariate MLP Target Lags,test,1min,2.69509726562985,3.3673164284546147,0.34666098779641025,0.34656522580227855,0.22527557042064475,0.8736598071749788,second_difference | smooth=2min | lr=0.01,20.0
univariate_mlp_target_lags,Univariate MLP Target Lags,test,1min,2.700595925303929,3.354900963300713,0.34737345879948445,0.34750266428674226,-0.15441530644330698,0.8745153632054122,first_difference | smooth=2min | lr=0.01,21.0
univariate_mlp_target_lags,Univariate MLP Target Lags,test,1min,2.896174068558074,3.6230892130490915,0.37248392065759317,0.3727461424941606,-0.35360997698627156,0.8537379241123043,second_difference | smooth=2min | lr=0.0001,22.0
univariate_mlp_target_lags,Univariate MLP Target Lags,test,1min,3.1166541231425646,3.9904810892058493,0.40092865765309915,0.4012463545849844,-0.3274777112020949,0.8225711690301178,second_difference | smooth=2min | lr=0.005,23.0
univariate_mlp_target_lags,Univariate MLP Target Lags,test,1min,3.1496740605160536,3.9998022569987697,0.40511429025743967,0.4052957508401729,-0.14878550414309882,0.821741306447674,second_difference | smooth=2min | lr=0.001,24.0
univariate_mlp_target_lags,Univariate MLP Target Lags,test,30s,0.8791589863558367,1.108721210260244,0.11296126686424528,0.11296237952297453,-0.011045967228309268,0.9863539609689508,first_difference | smooth=none | lr=0.0001,1.0
univariate_mlp_target_lags,Univariate MLP Target Lags,test,30s,0.883886603508795,1.1197294095454957,0.11356166755807394,0.11355764280443956,0.020397197732281346,0.9860780685618559,level | smooth=none | lr=0.005,2.0
univariate_mlp_target_lags,Univariate MLP Target Lags,test,30s,0.8844097245934395,1.1114590123263146,0.11363558541211474,0.11363607698409008,-0.009551344935987886,0.9862829657209633,level | smooth=none | lr=0.01,3.0
univariate_mlp_target_lags,Univariate MLP Target Lags,test,30s,0.884690066322024,1.1142330455969875,0.11364223638616737,0.11365419850518049,-0.08687802216500887,0.986214408996076,level | smooth=none | lr=0.001,4.0
univariate_mlp_target_lags,Univariate MLP Target Lags,test,30s,0.8988182955269001,1.1343893121878132,0.11547479101226273,0.11547426000041042,-0.005872971647072599,0.9857148057707886,first_difference | smooth=none | lr=0.01,5.0
univariate_mlp_target_lags,Univariate MLP Target Lags,test,30s,0.9029768807751106,1.1387054266853451,0.11600712206607619,0.11600760800791793,-0.004888995237881102,0.9856058946088646,first_difference | smooth=none | lr=0.001,6.0
univariate_mlp_target_lags,Univariate MLP Target Lags,test,30s,0.9069007319193829,1.1420368628198434,0.11653196388792084,0.11653603704889985,-0.03457109457706069,0.9855215476157935,first_difference | smooth=none | lr=0.005,7.0
univariate_mlp_target_lags,Univariate MLP Target Lags,test,30s,0.9084626934344953,1.144651204840771,0.1167218612521393,0.1167322421185214,-0.07410690656186202,0.9854514517059103,level | smooth=none | lr=0.0001,8.0
univariate_mlp_target_lags,Univariate MLP Target Lags,test,30s,0.9129970200878357,1.1587977243225942,0.11731472131999736,0.1173152218887262,-0.008196372941978274,0.985098054608471,second_difference | smooth=none | lr=0.0001,9.0
univariate_mlp_target_lags,Univariate MLP Target Lags,test,30s,0.916990484206548,1.1559951258963268,0.11783461101390633,0.11784048885200683,-0.04767520532852504,0.9851616597157001,level | smooth=1min | lr=0.0001,10.0
univariate_mlp_target_lags,Univariate MLP Target Lags,test,30s,0.931746689323611,1.1768908033831254,0.11972666557846115,0.11972851441458213,-0.016911078830767326,0.9846290737591645,second_difference | smooth=none | lr=0.001,11.0
univariate_mlp_target_lags,Univariate MLP Target Lags,test,30s,0.9381722556554365,1.191238515671569,0.12053719959424006,0.12052871831555326,0.047998957036655174,0.9842520091480058,second_difference | smooth=none | lr=0.005,12.0
univariate_mlp_target_lags,Univariate MLP Target Lags,test,30s,0.9393292744855254,1.1936953520842282,0.12069027097151883,0.12068823530427125,0.012026538671466639,0.9841869841599141,second_difference | smooth=none | lr=0.01,13.0
univariate_mlp_target_lags,Univariate MLP Target Lags,test,30s,1.0747349694169772,1.3651949744308192,0.13808640441752468,0.13808416010470834,0.008390686177429947,0.9793051309674644,level | smooth=1min | lr=0.001,14.0
