model_baseline,model_variant_baseline,split_baseline,candidate_label,granularity,difference_order_baseline,transform_name_baseline,training_smoothing_window_baseline,lookback_steps_baseline,horizon_steps_baseline,lookback_duration_baseline,horizon_duration_baseline,hidden_units_baseline,second_hidden_units_baseline,hidden_layer_sizes_baseline,forecast_output_scale_baseline,learning_rate_init_baseline,selected_role_baseline,engine_baseline,optimizer_baseline,num_layers_baseline,min_steps_baseline,max_steps_baseline,accelerator_baseline,windows_batch_size_baseline,dataloader_num_workers_baseline,training_seconds_baseline,warning_count_baseline,warnings_baseline,mae_baseline,rmse_baseline,mape_baseline,smape_baseline,bias_baseline,r2_baseline,selection_mode_baseline,stage_baseline,comparison_family_baseline,model_stage3_best,model_variant_stage3_best,split_stage3_best,difference_order_stage3_best,transform_name_stage3_best,training_smoothing_window_stage3_best,lookback_steps_stage3_best,horizon_steps_stage3_best,lookback_duration_stage3_best,horizon_duration_stage3_best,hidden_units_stage3_best,second_hidden_units_stage3_best,hidden_layer_sizes_stage3_best,forecast_output_scale_stage3_best,learning_rate_init_stage3_best,selected_role_stage3_best,engine_stage3_best,optimizer_stage3_best,num_layers_stage3_best,min_steps_stage3_best,max_steps_stage3_best,accelerator_stage3_best,windows_batch_size_stage3_best,dataloader_num_workers_stage3_best,training_seconds_stage3_best,warning_count_stage3_best,warnings_stage3_best,mae_stage3_best,rmse_stage3_best,mape_stage3_best,smape_stage3_best,bias_stage3_best,r2_stage3_best,selection_mode_stage3_best,stage_stage3_best,comparison_family_stage3_best,r2_delta,mae_delta,rmse_delta,mae_change_pct,rmse_change_pct
NeuralForecast_MLP_neuralforecast_single_hidden_match_lookback,neuralforecast_single_hidden_match_lookback,test,1min_d1_smooth_none,1min,1,first_difference,none,3,3,3min,3min,3,,"(3,)",scaled,0.0001,best_project_horizon_1min_candidate,neuralforecast,adam,1,5000,7500,gpu,4096,0,92.59434009995311,4,"The 'predict_dataloader' does not have many workers which may be a bottleneck. Consider increasing the value of the `num_workers` argument` to `num_workers=7` in the `DataLoader` to improve performance.; The 'train_dataloader' does not have many workers which may be a bottleneck. Consider increasing the value of the `num_workers` argument` to `num_workers=7` in the `DataLoader` to improve performance.; The 'val_dataloader' does not have many workers which may be a bottleneck. Consider increasing the value of the `num_workers` argument` to `num_workers=7` in the `DataLoader` to improve performance.; `isinstance(treespec, LeafSpec)` is deprecated, use `isinstance(treespec, TreeSpec) and treespec.is_leaf()` instead.",0.3028002240342234,0.3839772486009745,287.65656234198565,62.90819413619363,0.0026932330428417,0.8099403449860647,stage_2_baseline_3min_top3,Stage 2 baseline,Baseline,NeuralForecast_MLP_neuralforecast_2_hidden_match_lookback,neuralforecast_2_hidden_match_lookback,test,1,first_difference,none,3,3,3min,3min,3,3.0,"(3, 3)",scaled,0.01,best_project_horizon_1min_candidate,neuralforecast,adam,2,5000,5000,gpu,4096,0,82.99196839996148,4,"The 'predict_dataloader' does not have many workers which may be a bottleneck. Consider increasing the value of the `num_workers` argument` to `num_workers=7` in the `DataLoader` to improve performance.; The 'train_dataloader' does not have many workers which may be a bottleneck. Consider increasing the value of the `num_workers` argument` to `num_workers=7` in the `DataLoader` to improve performance.; The 'val_dataloader' does not have many workers which may be a bottleneck. Consider increasing the value of the `num_workers` argument` to `num_workers=7` in the `DataLoader` to improve performance.; `isinstance(treespec, LeafSpec)` is deprecated, use `isinstance(treespec, TreeSpec) and treespec.is_leaf()` instead.",0.3026892161841743,0.3837385396279721,293.52857558144353,62.92245177522988,0.0030929359754597,0.8101765821217713,stage_3_univariate_mlp_3min,Stage 3 advanced MLP,Advanced MLP,0.00023623713570664062,-0.00011100785004908298,-0.00023870897300237726,-0.03666042533592595,-0.06216747837850189
NeuralForecast_MLP_neuralforecast_single_hidden_match_lookback,neuralforecast_single_hidden_match_lookback,test,30s_d0_smooth_none,30s,0,level,none,6,6,3min,3min,6,,"(6,)",scaled,0.0001,best_project_horizon_30s_candidate,neuralforecast,adam,1,5000,7500,gpu,4096,0,168.67745970003307,4,"The 'predict_dataloader' does not have many workers which may be a bottleneck. Consider increasing the value of the `num_workers` argument` to `num_workers=7` in the `DataLoader` to improve performance.; The 'train_dataloader' does not have many workers which may be a bottleneck. Consider increasing the value of the `num_workers` argument` to `num_workers=7` in the `DataLoader` to improve performance.; The 'val_dataloader' does not have many workers which may be a bottleneck. Consider increasing the value of the `num_workers` argument` to `num_workers=7` in the `DataLoader` to improve performance.; `isinstance(treespec, LeafSpec)` is deprecated, use `isinstance(treespec, TreeSpec) and treespec.is_leaf()` instead.",0.3109733612263334,0.3932632325527836,146.65875719051746,66.94505193495424,-0.0395225714276394,0.8015587360937008,stage_2_baseline_3min_top3,Stage 2 baseline,Baseline,NeuralForecast_MLP_neuralforecast_2_hidden_match_lookback,neuralforecast_2_hidden_match_lookback,test,0,level,none,6,6,3min,3min,6,6.0,"(6, 6)",scaled,0.01,best_project_horizon_30s_candidate,neuralforecast,adam,2,5000,12000,gpu,4096,0,233.51704139995852,4,"The 'predict_dataloader' does not have many workers which may be a bottleneck. Consider increasing the value of the `num_workers` argument` to `num_workers=7` in the `DataLoader` to improve performance.; The 'train_dataloader' does not have many workers which may be a bottleneck. Consider increasing the value of the `num_workers` argument` to `num_workers=7` in the `DataLoader` to improve performance.; The 'val_dataloader' does not have many workers which may be a bottleneck. Consider increasing the value of the `num_workers` argument` to `num_workers=7` in the `DataLoader` to improve performance.; `isinstance(treespec, LeafSpec)` is deprecated, use `isinstance(treespec, TreeSpec) and treespec.is_leaf()` instead.",0.3036411935099268,0.3834826926115836,153.59070884517152,65.56771655255761,-0.0330849843923305,0.8113065473077559,stage_3_univariate_mlp_3min,Stage 3 advanced MLP,Advanced MLP,0.009747811214055102,-0.007332167716406601,-0.00978053994120004,-2.3578121571223862,-2.4870211938481432
NeuralForecast_MLP_neuralforecast_single_hidden_match_lookback,neuralforecast_single_hidden_match_lookback,test,raw_d1_smooth_none,raw,1,first_difference,none,36,36,3min,3min,36,,"(36,)",scaled,0.0001,best_project_horizon_raw_candidate,neuralforecast,adam,1,5000,7500,gpu,4096,0,32022.668455899984,4,"The 'predict_dataloader' does not have many workers which may be a bottleneck. Consider increasing the value of the `num_workers` argument` to `num_workers=7` in the `DataLoader` to improve performance.; The 'train_dataloader' does not have many workers which may be a bottleneck. Consider increasing the value of the `num_workers` argument` to `num_workers=7` in the `DataLoader` to improve performance.; The 'val_dataloader' does not have many workers which may be a bottleneck. Consider increasing the value of the `num_workers` argument` to `num_workers=7` in the `DataLoader` to improve performance.; `isinstance(treespec, LeafSpec)` is deprecated, use `isinstance(treespec, TreeSpec) and treespec.is_leaf()` instead.",0.3095393905945249,0.3922298963891433,214.26213146640643,64.62878665025374,-0.004708779942493,0.8030020580990005,stage_2_baseline_3min_top3,Stage 2 baseline,Baseline,NeuralForecast_MLP_neuralforecast_2_hidden_match_lookback,neuralforecast_2_hidden_match_lookback,test,1,first_difference,none,36,36,3min,3min,36,36.0,"(36, 36)",scaled,0.0001,best_project_horizon_raw_candidate,neuralforecast,adam,2,5000,5000,gpu,4096,0,4771.501740499982,4,"The 'predict_dataloader' does not have many workers which may be a bottleneck. Consider increasing the value of the `num_workers` argument` to `num_workers=7` in the `DataLoader` to improve performance.; The 'train_dataloader' does not have many workers which may be a bottleneck. Consider increasing the value of the `num_workers` argument` to `num_workers=7` in the `DataLoader` to improve performance.; The 'val_dataloader' does not have many workers which may be a bottleneck. Consider increasing the value of the `num_workers` argument` to `num_workers=7` in the `DataLoader` to improve performance.; `isinstance(treespec, LeafSpec)` is deprecated, use `isinstance(treespec, TreeSpec) and treespec.is_leaf()` instead.",0.3097244179042798,0.3929133039181845,214.0550887808317,64.6382111841482,-0.0048021350383,0.8023149755226127,stage_3_univariate_mlp_3min,Stage 3 advanced MLP,Advanced MLP,-0.0006870825763878319,0.00018502730975489268,0.0006834075290412245,0.05977504491415944,0.17423647083831542
